chinese_word,english_translation,chinese_sentence,english_sentence
阿姨,aunt; auntie,阿姨正在做饭。,Auntie is cooking.
啊,ah (exclamation particle),今天天气真好啊！,"Ah, the weather is so nice today!"
矮,short (height),这个小孩比较矮。,This child is relatively short.
安静,quiet,图书馆里很安静。,The library is very quiet.
八,eight,我有八本书。,I have eight books.
把,to hold; to grasp,请把门关上。,Please close the door.
爸爸,father; dad,我爸爸在公司工作。,My father works at a company.
吧,suggestion particle,我们去吃饭吧。,Let's go eat.
白,white,她穿着白衣服。,She is wearing white clothes.
百,hundred,这本书有一百页。,This book has one hundred pages.
班,class,我们是三年级二班。,We are class 2 of grade 3.
搬,to move (objects),他们在搬家具。,They are moving furniture.
半,half,现在是八点半。,It's eight thirty now.
帮忙,to help,你能帮忙拿一下吗？,Can you help me carry this?
帮助,to assist,老师帮助学生学习。,The teacher helps students learn.
包,to wrap,请帮我把这个礼物包起来。,Please help me wrap this gift.
杯子,cup,我需要一个干净的杯子喝水。,I need a clean cup to drink water.
北方,north,冬天北方比南方冷得多。,The north is much colder than the south in winter.
北京,Beijing,我明年想去北京旅游。,I want to travel to Beijing next year.
被,by (passive),他被老师表扬了。,He was praised by the teacher.
本,book; volume,这本书很有意思。,This book is very interesting.
鼻子,nose,他的鼻子很高。,He has a tall nose.
比,compared to,他比我高。,He is taller than me.
表示,to express,我想表示感谢。,I want to express my thanks.
表演,to perform,孩子们要在学校表演节目。,The children will perform a show at school.
别,don't,别担心，我会帮你。,"Don't worry, I'll help you."
别人,others,要尊重别人。,We should respect others.
冰箱,refrigerator,把牛奶放在冰箱里。,Put the milk in the refrigerator.
不客气,you're welcome,谢谢你！-不客气。,Thank you! -You're welcome.
不,not,我不喜欢下雨。,I don't like rain.
才,ability; only,他很有音乐才华。,He has great musical ability.
菜,dish; food,这道菜很好吃。,This dish is delicious.
参加,to participate,我要参加比赛。,I will participate in the competition.
草,grass,院子里的草很绿。,The grass in the yard is very green.
茶,tea,我每天早上喝茶。,I drink tea every morning.
差,poor; to lack,他的成绩很差。,His grades are poor.
唱歌,to sing,她喜欢唱歌。,She likes to sing.
超市,supermarket,我要去超市买东西。,I'm going to the supermarket to buy things.
城市,city,北京是一个大城市。,Beijing is a big city.
吃,to eat,我们一起吃午饭吧。,Let's eat lunch together.
出,to go out,他刚才出门了。,He just went out.
厨房,kitchen,妈妈在厨房做饭。,Mom is cooking in the kitchen.
除了,besides; except,除了他，大家都来了。,Everyone came except him.
船,boat; ship,那艘船很大。,That ship is very big.
春,spring,春天的花很漂亮。,The flowers in spring are beautiful.
次,time; occurrence,这是我第二次来北京。,This is my second time coming to Beijing.
