chinese_word,english_translation,chinese_sentence,english_sentence
阿姨,auntie,阿姨在公园里照顾小孩。,The auntie is taking care of children in the park.
啊,ah/oh (exclamation),这个蛋糕真好吃啊！,"Ah, this cake is really delicious!"
矮,short,我比我哥哥矮一点。,I am a bit shorter than my brother.
安静,quiet,图书馆里要保持安静。,You need to stay quiet in the library.
安排,to arrange,老师安排我们分组学习。,The teacher arranged us into study groups.
安全,safe,开车时要注意安全。,Pay attention to safety when driving.
暗,dark,房间里太暗了，开灯吧。,"It's too dark in the room, let's turn on the light."
按照,according to,请按照说明书操作。,Please operate according to the instructions.
八,eight,我家在八楼。,My home is on the eighth floor.
把,to hold,请把门关上。,Please close the door.
爸爸,father,我爸爸在医院工作。,My father works at the hospital.
吧,okay/right?,我们去吃饭吧。,"Let's go eat, okay?"
白,white,她穿了一件白衬衫。,She wore a white shirt.
百,hundred,这本书有一百页。,This book has one hundred pages.
班,class,我们班有三十个学生。,Our class has thirty students.
搬,to move,我们下个月要搬家。,We are moving house next month.
半,half,这个蛋糕只吃了一半。,Only half of the cake was eaten.
帮忙,to help,你能帮忙拿一下这个箱子吗？,Can you help me carry this box?
帮助,to assist,老师总是帮助学生解决问题。,The teacher always helps students solve problems.
包,to wrap,妈妈帮我包了一个礼物。,Mom wrapped a gift for me.
包括,to include,票价包括午餐。,The ticket price includes lunch.
抱,to hug,妈妈抱着小孩。,The mother is hugging her child.
抱歉,sorry,抱歉，我来晚了。,"Sorry, I'm late."
杯子,cup,桌子上有一个杯子。,There is a cup on the table.
北方,north,他来自中国北方。,He comes from northern China.
北京,Beijing,北京是中国的首都。,Beijing is the capital of China.
倍,times,这个数字是那个的两倍。,This number is two times that one.
被,by (passive),饭被他吃完了。,The food was eaten by him.
本,this/book,这本书很有意思。,This book is very interesting.
本来,originally,我本来想去公园的。,I originally wanted to go to the park.
笨,"stupid, clumsy",他做事很笨，但是很认真。,"He's clumsy at doing things, but very diligent."
鼻子,nose,他的鼻子很高。,He has a high nose bridge.
比,compared to,他比我高。,He is taller than me.
遍,"time, round",我把这本书看了一遍。,I read through this book once.
表格,"form, table",请填写这个表格。,Please fill out this form.
表示,"to express, to show",他表示同意这个想法。,He expressed agreement with this idea.
表演,"to perform, performance",孩子们要在学校表演节目。,The children will perform a show at school.
别,don't,别担心，一切都会好的。,"Don't worry, everything will be fine."
别人,"others, other people",别人都已经走了。,Everyone else has already left.
冰箱,refrigerator,把牛奶放在冰箱里。,Put the milk in the refrigerator.
并且,"and, moreover",他很聪明并且很努力。,He is smart and moreover hardworking.
博士,"Ph.D., doctor",她正在读博士学位。,She is pursuing a Ph.D. degree.
不但,not only,他不但会说中文，还会说英文。,He can speak not only Chinese but also English.
不客气,you're welcome,谢谢！-不客气。,Thank you! -You're welcome.
不,"no, not",我不喜欢吃辣的食物。,I don't like spicy food.
不得不,have to; must,因为下雨，我不得不打车去上班。,"Because of the rain, I had to take a taxi to work."
不管,no matter; regardless of,不管天气怎么样，他都去跑步。,"No matter what the weather is like, he goes running."
部分,part; portion,这只是问题的一部分。,This is only part of the problem.
擦,to wipe; to clean,请帮我擦一下桌子。,Please help me wipe the table.
猜,to guess,你猜我今天遇到谁了？,Guess who I met today?
才,only; just,我才八岁。,I'm only eight years old.
材料,material; ingredients,我们需要买些做蛋糕的材料。,We need to buy some ingredients to make a cake.
菜,dish; vegetable,这道菜很好吃。,This dish is delicious.
参加,to participate; to join,你要参加这个活动吗？,Are you going to participate in this activity?
草,grass; draft,院子里的草需要剪了。,The grass in the yard needs to be cut.
茶,tea,我每天早上都喝茶。,I drink tea every morning.
差,poor; bad,他的成绩很差。,His grades are poor.
差不多,almost; nearly,我们差不多到了。,We're almost there.
唱歌,to sing,她很喜欢唱歌。,She really likes to sing.
超市,supermarket,我要去超市买东西。,I'm going to the supermarket to buy things.
吵,to quarrel; noisy,他们总是吵架,They always quarrel
成功,success; to succeed,他终于成功地找到了工作,He finally succeeded in finding a job
成熟,mature; ripe,这个水果已经成熟了,This fruit is now ripe
城市,city,北京是一个大城市,Beijing is a big city
乘坐,to ride,我每天乘坐地铁上班,I take the subway to work every day
吃,to eat,我们一起吃晚饭吧,Let's have dinner together
重新,again; once more,请重新开始,Please start again
抽烟,to smoke,请不要在这里抽烟,Please don't smoke here
出,to go out,他刚才出门了,He just went out
出差,business trip,我明天要出差去上海,I'm going on a business trip to Shanghai tomorrow
出生,to be born,他在北京出生,He was born in Beijing
厨房,kitchen,妈妈在厨房做饭,Mom is cooking in the kitchen
除了,besides; except,除了他以外都来了,Everyone came except him
船,boat; ship,那艘船很大,That ship is very big
春,spring,春天来了,Spring has arrived
次,time; next in sequence,这是我第二次来北京。,This is my second time coming to Beijing.
从,from; through,他从家里走到学校要二十分钟。,It takes him 20 minutes to walk from home to school.
从来,always; never (in negative),我从来没去过美国。,I have never been to America.
粗心,careless,他很粗心，总是忘记带钥匙。,He is careless and always forgets to bring his keys.
答案,answer,这道数学题的答案是多少？,What's the answer to this math problem?
打扮,to dress up,她喜欢打扮得很漂亮。,She likes to dress up beautifully.
打算,to plan,我打算明年去中国留学。,I plan to study in China next year.
打印,to print,请帮我打印这份文件。,Please help me print this document.
打折,to discount,这件衣服正在打折。,This piece of clothing is on discount.
大,big; large,我家有一只大狗。,I have a big dog at home.
大概,probably; about,他大概明天会来。,He will probably come tomorrow.
大家,everyone,大家都喜欢这个老师。,Everyone likes this teacher.
戴,to wear,外面冷，要戴手套。,"It's cold outside, you should wear gloves."
代表,representative,她是我们班的代表。,She is our class representative.
代替,to replace,他今天代替我去开会。,He went to the meeting instead of me today.
大夫,doctor,我需要去看大夫,I need to see a doctor
担心,worried,妈妈担心我的考试,Mom is worried about my exam
蛋糕,cake,这个蛋糕很好吃,This cake is delicious
但是,but,我想去，但是我没有时间,"I want to go, but I don't have time"
当,to be; to act as,他当老师已经十年了,He has been a teacher for ten years
当地,local,我们想尝尝当地的美食,We want to try the local food
当然,of course,当然我会帮你,Of course I will help you
刀,knife,这把刀很锋利,This knife is very sharp
到,to arrive; to reach,我八点到学校,I arrive at school at 8 o'clock
到底,finally; after all,你到底想要什么？,What do you want after all?
道歉,to apologize,他向我道歉了,He apologized to me
得意,proud,他对成绩很得意,He is proud of his grades
地,structural particle -ly,他快快地跑了,He ran quickly
的,of; possessive particle,这是我的书,This is my book
得,structural particle,他跑得很快,He runs very fast
得,must; have to,我们得快点去学校。,We must hurry to school.
灯,light; lamp,请把灯打开。,Please turn on the light.
等,to wait,请等一下。,Please wait a moment.
等,etc.; and so on,我喜欢苹果、香蕉等水果。,"I like apples, bananas, and other fruits."
低,low,这里的温度很低。,The temperature here is very low.
底,bottom; end,这个月底我要回家。,I will go home at the end of this month.
弟弟,younger brother,我的弟弟今年十岁。,My younger brother is ten years old this year.
地方,place; region,这个地方很漂亮。,This place is very beautiful.
地球,Earth,地球是我们的家。,Earth is our home.
