chinese_word,english_translation,chinese_sentence,english_sentence
八,eight 8,我有一个八。,I have a eight 8.
爸爸,father 位[wèi],我喜欢这个爸爸。,I like this father 位[wèi].
杯子,cup glass 支[zhī]枝[zhī],我喜欢这个杯子。,I like this cup glass 支[zhī]枝[zhī].
北京,Beijing capital of People's Republic of China Peking,这个北京很贵。,This Beijing capital of People's Republic of China Peking is expensive.
本,roots or stems of plants origin source this the current,我有一个本。,I have a roots or stems of plants origin source this the current.
不客气,you're welcome impolite rude blunt don't mention it,我喜欢这个不客气。,I like this you're welcome impolite rude blunt don't mention it.
不,not no,我有一个不。,I have a not no.
菜,dish  vegetables vegetable cuisine CL:盤|,我喜欢这个菜。,I like this dish  vegetables vegetable cuisine CL:盤|.
茶,tea tea plant 壺|[hú],我喜欢这个茶。,I like this tea tea plant 壺|[hú].
吃,to eat to have one's meal to eradicate to destroy to,我有一个吃。,I have a to eat to have one's meal to eradicate to destroy to.
大,big huge large major great wide deep oldest eldest,这个大很贵。,This big huge large major great wide deep oldest eldest is expensive.
的,of structural particle: used before a noun linking it to,这个的很好。,This of structural particle: used before a noun linking it to is good.
点,drop  stain spot speck jot dot stroke (in,这个点很好。,This drop  stain spot speck jot dot stroke (in is good.
都,all both entirely  each even already,我有一个都。,I have a all both entirely  each even already.
多,many much a lot of numerous multi-,这个多很贵。,This many much a lot of numerous multi- is expensive.
多少,number amount somewhat,我有一个多少。,I have a number amount somewhat.
儿子,son,这个儿子很好。,This son is good.
二,two 2 stupid,这个二很贵。,This two 2 stupid is expensive.
高兴,happy glad willing  in a cheerful mood,我喜欢这个高兴。,I like this happy glad willing  in a cheerful mood.
个,individual this that size classifier for people or objects,这个个很贵。,This individual this that size classifier for people or objects is expensive.
工作,job work construction task 份[fèn]項|,这个工作很好。,This job work construction task 份[fèn]項| is good.
狗,dog 條|条[tiáo],我有一个狗。,I have a dog 條|条[tiáo].
好,good well proper good to easy to very so (suffix,这个好很漂亮。,This good well proper good to easy to very so (suffix is beautiful.
喝,to drink to shout  My goodness!,这个喝很好。,This to drink to shout  My goodness! is good.
和,and together with with sum union peace harmony,这个和很贵。,This and together with with sum union peace harmony is expensive.
很,quite very awfully,这个很很贵。,This quite very awfully is expensive.
后面,rear back behind later afterwards,这个后面很贵。,This rear back behind later afterwards is expensive.
回,to circle to go back to turn around to answer to return,我有一个回。,I have a to circle to go back to turn around to answer to return.
会,can be possible be able to will be likely to be sure to,这个会很好。,This can be possible be able to will be likely to be sure to is good.
几,how much how many several a few,这个几很好。,This how much how many several a few is good.
家,home family classifier for families or businesses refers to,这个家很好。,This home family classifier for families or businesses refers to is good.
叫,to shout to call to order to ask to be called by,我有一个叫。,I have a to shout to call to order to ask to be called by.
今天,today at the present now,我喜欢这个今天。,I like this today at the present now.
九,nine 9,我喜欢这个九。,I like this nine 9.
开,to open to start to turn on to boil to write out (a,我有一个开。,I have a to open to start to turn on to boil to write out (a.
看,to look after to take care of to watch to guard,我喜欢这个看。,I like this to look after to take care of to watch to guard.
来,to come to arrive to come round ever since next,我喜欢这个来。,I like this to come to arrive to come round ever since next.
了,(completed,这个了很贵。,This (completed is expensive.
冷,cold,这个冷很好。,This cold is good.
里,lining interior inside internal also written 裡|里 [lǐ],这个里很好。,This lining interior inside internal also written 裡|里 [lǐ] is good.
零,zero nought zero sign fractional fragmentary odd (of,这个零很好。,This zero nought zero sign fractional fragmentary odd (of is good.
六,six 6,这个六很贵。,This six 6 is expensive.
猫,cat,这个猫很贵。,This cat is expensive.
没,have not not,这个没很漂亮。,This have not not is beautiful.
没关系,it doesn't matter,这个没关系很好。,This it doesn't matter is good.
明天,tomorrow,这个明天很贵。,This tomorrow is expensive.
名字,name,这个名字很漂亮。,This name is beautiful.
哪,how which,这个哪很好。,This how which is good.
哪儿,where? wherever anywhere,这个哪儿很好。,This where? wherever anywhere is good.
那,that those then  commonly pr. nèi before a,这个那很好。,This that those then  commonly pr. nèi before a is good.
那儿,there,我喜欢这个那儿。,I like this there.
呢,,我喜欢这个呢。,I like this .
能,to be able to to be capable of ability capability able,这个能很贵。,This to be able to to be capable of ability capability able is expensive.
你,you,我喜欢这个你。,I like this you.
年,year,我有一个年。,I have a year.
女儿,daughter,这个女儿很好。,This daughter is good.
朋友,friend 位[wèi],我喜欢这个朋友。,I like this friend 位[wèi].
漂亮,pretty beautiful,我有一个漂亮。,I have a pretty beautiful.
苹果,apple 顆|[kē],这个苹果很好。,This apple 顆|[kē] is good.
七,seven 7,这个七很好。,This seven 7 is good.
前面,ahead in front preceding above,这个前面很贵。,This ahead in front preceding above is expensive.
去,to go to go to  to cause to go or send  to,这个去很漂亮。,This to go to go to  to cause to go or send  to is beautiful.
人,man person people 位[wèi],这个人很漂亮。,This man person people 位[wèi] is beautiful.
日,sun day date day of the month abbr. for 日本|日本,我有一个日。,I have a sun day date day of the month abbr. for 日本|日本.
三,three 3,这个三很漂亮。,This three 3 is beautiful.
商店,store shop 個|个[gè],这个商店很漂亮。,This store shop 個|个[gè] is beautiful.
上,on on top upon first  previous last,我喜欢这个上。,I like this on on top upon first  previous last.
上午,morning,我喜欢这个上午。,I like this morning.
少,few little lack,这个少很漂亮。,This few little lack is beautiful.
什么,what? who? something anything,我喜欢这个什么。,I like this what? who? something anything.
十,ten 1,这个十很漂亮。,This ten 1 is beautiful.
是,is are am yes to be,这个是很好。,This is are am yes to be is good.
水,water river liquid beverage additional charges or,这个水很贵。,This water river liquid beverage additional charges or is expensive.
水果,fruit,我喜欢这个水果。,I like this fruit.
四,four 4,我喜欢这个四。,I like this four 4.
他,he or him (used for either sex when the sex is unknown,我有一个他。,I have a he or him (used for either sex when the sex is unknown.
她,she,这个她很漂亮。,This she is beautiful.
太,highest greatest too  very extremely,这个太很漂亮。,This highest greatest too  very extremely is beautiful.
天气,weather,我喜欢这个天气。,I like this weather.
听,to listen to hear to obey a can (loanword from English,这个听很贵。,This to listen to hear to obey a can (loanword from English is expensive.
同学,classmate 個|个[gè],这个同学很漂亮。,This classmate 個|个[gè] is beautiful.
喂,hello  hey to feed (sb or some,我有一个喂。,I have a hello  hey to feed (sb or some.
我,I me my,我喜欢这个我。,I like this I me my.
五,five 5,这个五很好。,This five 5 is good.
下,down downwards below lower later next,这个下很贵。,This down downwards below lower later next is expensive.
下午,afternoon p.m.,我有一个下午。,I have a afternoon p.m..
下雨,to rain rainy,这个下雨很贵。,This to rain rainy is expensive.
先生,teacher Mister  husband doctor  CL:個|,这个先生很漂亮。,This teacher Mister  husband doctor  CL:個| is beautiful.
想,to think to believe to suppose to wish to want to miss,这个想很漂亮。,This to think to believe to suppose to wish to want to miss is beautiful.
小,small tiny few young,这个小很贵。,This small tiny few young is expensive.
小姐,young lady miss 位[wèi],这个小姐很贵。,This young lady miss 位[wèi] is expensive.
些,some few several,这个些很贵。,This some few several is expensive.
写,to write,这个写很贵。,This to write is expensive.
星期,week,这个星期很好。,This week is good.
学生,student school child,我喜欢这个学生。,I like this student school child.
学校,school,我有一个学校。,I have a school.
一,one 1 single a  as soon as entire whole all,这个一很好。,This one 1 single a  as soon as entire whole all is good.
衣服,clothes 套[tào],这个衣服很贵。,This clothes 套[tào] is expensive.
医生,doctor 位[wèi]名[míng],我有一个医生。,I have a doctor 位[wèi]名[míng].
医院,hospital 家[jiā]座[zuò],这个医院很贵。,This hospital 家[jiā]座[zuò] is expensive.
椅子,chair 套[tào],我有一个椅子。,I have a chair 套[tào].
有,to have there is there are to exist to be,我有一个有。,I have a to have there is there are to exist to be.
月,moon month 輪|[lún],我喜欢这个月。,I like this moon month 輪|[lún].
在,at  in to exist in the middle of doing sth,我有一个在。,I have a at  in to exist in the middle of doing sth.
怎么,how? what? why?,这个怎么很贵。,This how? what? why? is expensive.
中国,China Middle Kingdom,这个中国很贵。,This China Middle Kingdom is expensive.
中午,noon midday,这个中午很漂亮。,This noon midday is beautiful.
住,to live to dwell to stay to reside to stop,这个住很贵。,This to live to dwell to stay to reside to stop is expensive.
桌子,table desk 套[tào],这个桌子很贵。,This table desk 套[tào] is expensive.
字,letter symbol character word  courtesy or,我有一个字。,I have a letter symbol character word  courtesy or.
昨天,yesterday,我有一个昨天。,I have a yesterday.
坐,to sit to take a seat to take  to bear,这个坐很贵。,This to sit to take a seat to take  to bear is expensive.
做,to do to make to produce to write to compose to act,这个做很好。,This to do to make to produce to write to compose to act is good.
