chinese_word,english_translation,chinese_sentence,english_sentence
阿姨,maternal aunt step-mother childcare worker,我有一个阿姨。,I have a maternal aunt step-mother childcare worker.
啊,modal particle ending sentence showing,我喜欢这个啊。,I like this modal particle ending sentence showing.
矮,low short,这个矮很漂亮。,This low short is beautiful.
安静,quiet peaceful calm,我喜欢这个安静。,I like this quiet peaceful calm.
安排,to arrange to plan to set up,我喜欢这个安排。,I like this to arrange to plan to set up.
安全,safe secure safety security,这个安全很好。,This safe secure safety security is good.
暗,dark gloomy hidden secret muddled obscure,我喜欢这个暗。,I like this dark gloomy hidden secret muddled obscure.
按照,according to in accordance with in the light of,这个按照很好。,This according to in accordance with in the light of is good.
八,eight 8,我有一个八。,I have a eight 8.
把,to hold to contain to grasp to take hold of a,这个把很贵。,This to hold to contain to grasp to take hold of a is expensive.
爸爸,father 位[wèi],我喜欢这个爸爸。,I like this father 位[wèi].
吧,,这个吧很漂亮。,This  is beautiful.
白,white snowy pure bright empty blank plain,这个白很漂亮。,This white snowy pure bright empty blank plain is beautiful.
百,hundred numerous all kinds of surname Bai,我喜欢这个百。,I like this hundred numerous all kinds of surname Bai.
班,team class squad work shift classifier for,我喜欢这个班。,I like this team class squad work shift classifier for.
搬,to move to shift to remove to transport to apply,这个搬很漂亮。,This to move to shift to remove to transport to apply is beautiful.
半,half semi- incomplete  and a half,这个半很好。,This half semi- incomplete  and a half is good.
帮忙,to help to lend a hand to do a favor to do a,这个帮忙很漂亮。,This to help to lend a hand to do a favor to do a is beautiful.
帮助,assistance aid to help to assist,这个帮助很贵。,This assistance aid to help to assist is expensive.
包,to cover to wrap to hold to include to take,这个包很好。,This to cover to wrap to hold to include to take is good.
包括,to comprise to include to involve to incorporate,我喜欢这个包括。,I like this to comprise to include to involve to incorporate.
抱,to hold to carry  to hug or,这个抱很漂亮。,This to hold to carry  to hug or is beautiful.
抱歉,sorry We apologize! to feel apologetic to regret,我喜欢这个抱歉。,I like this sorry We apologize! to feel apologetic to regret.
杯子,cup glass 支[zhī]枝[zhī],我喜欢这个杯子。,I like this cup glass 支[zhī]枝[zhī].
北方,north the northern part a country China north of,这个北方很好。,This north the northern part a country China north of is good.
北京,Beijing capital of People's Republic of China,这个北京很贵。,This Beijing capital of People's Republic of China is expensive.
倍,-fold times  double to,我喜欢这个倍。,I like this -fold times  double to.
被,by,这个被很漂亮。,This by is beautiful.
本,roots or stems of plants origin source this the,我有一个本。,I have a roots or stems of plants origin source this the.
本来,original originally at first it goes without saying,这个本来很好。,This original originally at first it goes without saying is good.
笨,stupid foolish silly slow-witted clumsy,我有一个笨。,I have a stupid foolish silly slow-witted clumsy.
鼻子,nose 隻|只[zhī],这个鼻子很贵。,This nose 隻|只[zhī] is expensive.
比,to,这个比很漂亮。,This to is beautiful.
遍,a time everywhere turn all over one time,我有一个遍。,I have a a time everywhere turn all over one time.
表格,form table 份[fèn],我有一个表格。,I have a form table 份[fèn].
表示,to express to show to say to state to indicate to,这个表示很漂亮。,This to express to show to say to state to indicate to is beautiful.
表演,play show performance exhibition to perform,这个表演很漂亮。,This play show performance exhibition to perform is beautiful.
别,to leave to depart to separate to distinguish to,这个别很好。,This to leave to depart to separate to distinguish to is good.
别人,other people others other person,我喜欢这个别人。,I like this other people others other person.
冰箱,icebox freezer cabinet refrigerator,这个冰箱很好。,This icebox freezer cabinet refrigerator is good.
并且,and besides moreover furthermore in addition,这个并且很好。,This and besides moreover furthermore in addition is good.
博士,doctor court academician  Ph.D.,我喜欢这个博士。,I like this doctor court academician  Ph.D..
不但,not only,这个不但很贵。,This not only is expensive.
不客气,you're welcome impolite rude blunt don't,我喜欢这个不客气。,I like this you're welcome impolite rude blunt don't.
不,not no,我有一个不。,I have a not no.
不得不,have no choice or option but to cannot but have,这个不得不很好。,This have no choice or option but to cannot but have is good.
不管,no matter  regardless of no matter,我喜欢这个不管。,I like this no matter  regardless of no matter.
部分,part share section piece,这个部分很好。,This part share section piece is good.
擦,to wipe to erase rubbing (brush stroke in,这个擦很贵。,This to wipe to erase rubbing (brush stroke in is expensive.
猜,to guess,我喜欢这个猜。,I like this to guess.
才,ability talent endowment gift an expert only,我喜欢这个才。,I like this ability talent endowment gift an expert only.
材料,material data makings stuff 種|种,这个材料很漂亮。,This material data makings stuff 種|种 is beautiful.
菜,dish  vegetables vegetable cuisine,我喜欢这个菜。,I like this dish  vegetables vegetable cuisine.
参加,to participate to take part to join,我有一个参加。,I have a to participate to take part to join.
草,grass straw manuscript draft,这个草很贵。,This grass straw manuscript draft is expensive.
茶,tea tea plant 壺|[hú],我喜欢这个茶。,I like this tea tea plant 壺|[hú].
差,differ from short of to lack poor,这个差很漂亮。,This differ from short of to lack poor is beautiful.
差不多,almost nearly more or less,这个差不多很漂亮。,This almost nearly more or less is beautiful.
唱歌,to sing a song,这个唱歌很贵。,This to sing a song is expensive.
超市,supermarket,这个超市很好。,This supermarket is good.
吵,to quarrel to make a noise noisy to disturb by,这个吵很好。,This to quarrel to make a noise noisy to disturb by is good.
成功,success to succeed 個|个[gè],这个成功很漂亮。,This success to succeed 個|个[gè] is beautiful.
成熟,mature ripe Taiwan pr. chéng shóu,这个成熟很漂亮。,This mature ripe Taiwan pr. chéng shóu is beautiful.
城市,city town,这个城市很好。,This city town is good.
乘坐,to ride,我喜欢这个乘坐。,I like this to ride.
吃,to eat to have one's meal to eradicate to destroy,我有一个吃。,I have a to eat to have one's meal to eradicate to destroy.
重新,again once more re-,这个重新很贵。,This again once more re- is expensive.
抽烟,to smoke,我有一个抽烟。,I have a to smoke.
出,to go out to come out to occur to produce to go,我有一个出。,I have a to go out to come out to occur to produce to go.
出差,to go on an official or business trip,这个出差很漂亮。,This to go on an official or business trip is beautiful.
出生,to be born,我有一个出生。,I have a to be born.
厨房,kitchen,这个厨房很好。,This kitchen is good.
除了,besides apart from  in addition to,这个除了很漂亮。,This besides apart from  in addition to is beautiful.
船,a boat vessel ship [sōu]隻|只,这个船很漂亮。,This a boat vessel ship [sōu]隻|只 is beautiful.
春,spring  gay joyful youthful love lust life,这个春很漂亮。,This spring  gay joyful youthful love lust life is beautiful.
次,next in sequence second the second (day time,我喜欢这个次。,I like this next in sequence second the second (day time.
从,from via passing through through  past,这个从很好。,This from via passing through through  past is good.
从来,always at all times never (if used in negative,这个从来很贵。,This always at all times never (if used in negative is expensive.
粗心,careless thoughtless,这个粗心很好。,This careless thoughtless is good.
答案,answer solution,我有一个答案。,I have a answer solution.
打扮,to decorate to dress to make up to adorn,这个打扮很好。,This to decorate to dress to make up to adorn is good.
打算,to plan to intend to calculate plan intention,这个打算很贵。,This to plan to intend to calculate plan intention is expensive.
打印,to print to seal to stamp,这个打印很漂亮。,This to print to seal to stamp is beautiful.
打折,to give a discount,这个打折很贵。,This to give a discount is expensive.
大,big huge large major great wide deep oldest,这个大很贵。,This big huge large major great wide deep oldest is expensive.
大概,roughly probably rough approximate about,这个大概很好。,This roughly probably rough approximate about is good.
大家,authority everyone,这个大家很漂亮。,This authority everyone is beautiful.
戴,to put on or wear  to,这个戴很好。,This to put on or wear  to is good.
代表,representative delegate 個|个[gè]名,我喜欢这个代表。,I like this representative delegate 個|个[gè]名.
代替,instead to replace to substitute (X for Y or a,我有一个代替。,I have a instead to replace to substitute (X for Y or a.
大夫,doctor minister of state  CL:個|,我有一个大夫。,I have a doctor minister of state  CL:個|.
担心,anxious worried uneasy to worry to be anxious,这个担心很贵。,This anxious worried uneasy to worry to be anxious is expensive.
蛋糕,cake 個|个[gè],我喜欢这个蛋糕。,I like this cake 個|个[gè].
但是,but however,这个但是很漂亮。,This but however is beautiful.
当,to be to act as manage withstand when during,我有一个当。,I have a to be to act as manage withstand when during.
当地,local,我喜欢这个当地。,I like this local.
当然,only natural as it should be certainly of course,这个当然很漂亮。,This only natural as it should be certainly of course is beautiful.
刀,knife,这个刀很好。,This knife is good.
到,to  until  up to to go to arrive,我有一个到。,I have a to  until  up to to go to arrive.
