german_word,english_translation,german_sentence,english_sentence
"der Hauptbahnhof, -""e",main railway station,Treffen wir uns am Hauptbahnhof?,Do we meet at the main station?
"das Haus, -""er",haus,Wir haben ein Haus gemietet.,We rented a house.
"die Hausaufgabe, -n",homework,Kannst du mir bei den Hausaufgaben helfen?,Can you help me with my homework?
"die Hausfrau, -en",housewife,Meine Frau ist Hausfrau und kümmert sich um die Kinder.,My wife is a housewife and takes care of the kids.
"der Hausmann, -""er",househusband,Mein Mann ist Hausmann und kümmert sich um die Kinder.,My husband is a housekeeper and takes care of the children.
"der Haushalt, -e",household,"Ich kümmere mich um den Haushalt, d.h. ich putze, wasche, koche etc.","I take care of the household, i. I clean, wash, cook etc."
"der Hausmeister, -",caretaker,"Sie haben kein Warmwasser? Am besten, Sie rufen den Hausmeister an.",You have no hot water? It's best to call the caretaker.
"die Haut, -""e",skin,Haben Sie eine Creme für trockene Haut?,Do you have a cream for dry skin?
"heben, hebt, hob, hat gehoben",to lift,Kannst du mir helfen? Das Paket kann ich nicht heben.,Can you help me? I can not lift the package.
"das Heft, -e",exercise book,Ich hätte gern ein Schreibheft.,I would like a copybook.
"das Heim, -e",home,"z. B. Kinderheim, Seniorenheim","z. B. Children's home, retirement home"
die Heimat (Sg.),home place,Ich lebe jetzt hier in Deutschland. Das ist meine neue Heimat.,I live here now in Germany. This is my new home.
heimlich,secretly,"Gestern habe ich gehört, dass mein Sohn heimlich raucht.",Yesterday I heard that my son smokes secretly.
das Heimweh (Sg.),home sickness,Ich habe oft Heimweh nach meiner Familie.,I often feel homesick for my family.
"heiraten, heiratet, heiratete, hat geheiratet",to marry,Meine Cousine heiratet nächsten Monat in Italien.,My cousin is getting married in Italy next month.
heiß,hot,Für die Jahreszeit ist es zu heiß.,For the season it is too hot.
"heißen, heißt, hieß, hat geheißen",to be called,Wie heißen Sie?,What's your name?
"heizen, heizt, heizte, hat geheizt",to heat,Wir heizen mit Öl.,We heat with oil.
"die Heizung, -en",heating,Es ist kalt. Ist die Heizung kaputt?,It is cold. Is the heater broken?
"helfen, hilft, half, hat geholfen",to help,Kannst du mir helfen? Ich muss nächsten Monat umziehen.,Can you help me? I have to move next month.
hell,light,Im Sommer wird es um 5 Uhr schon hell.,In summer it gets light at 5 o'clock already.
"das Hemd, -en",shirt,Nikos trägt heute ein weißes Hemd.,Nikos wears a white shirt today.
her,"direction from, to","Wir haben uns lange nicht gesehen. - Ja, das ist wirklich lange her.","We have not seen each other for a long time. - Yes, that was really long ago."
"heraus-, raus- / (he)rausfinden, findet heraus, fand heraus, hat herausgefunden",find out,"Hast du schon rausgefunden, wann und wo man sich für den Kurs anmelden muss?",Have you already figured out when and where to register for the course?
"der Herd, -e",stove,In der neuen Küche fehlt noch der Herd.,The stove is still missing in the new kitchen.
"herein-, rein-","in (here), here",Herein!,In!
"die Herkunft, -""e",origin,Viele Leute fragen mich nach meiner Herkunft.,Many people ask me about my origin.
"das Herkunftsland, -""er",country of origin,Tragen Sie bitte hier Ihr Herkunftsland ein.,Please enter your country of origin here.
"der Herr, -en","man, gentleman","Da ist ein Herr, der möchte Sie sprechen.",There is a gentleman who wants to speak to you.
"herstellen, stellt her, stellte her, hat hergestellt","to make, manufacture",In unserer Firma stellen wir Schokolade her.,In our company we produce chocolate.
"der Hersteller, -",manufacturer,Ihr Handy ist kaputt? Wir schicken es an den Hersteller zurück und lassen es reparieren.,Your cell phone is broken? We will return it to the manufacturer and have it repaired.
"herunter-, runter (he)runterladen, lädt herunter, lud herunter, hat heruntergeladen",download,Ich habe mir Musik aus dem Internet runtergeladen.,I downloaded music from the internet.
"(he)runterfahren, fährt herunter, fuhr herunter, hat heruntergefahren",shut down,Zum Schluss musst du den Computer herunterfahren.,"Finally, you need to shut down the computer."
"das Herz, -en",heart,Ich bin ganz nervös. Mir klopft das Herz.,I am very nervous. My heart is beating.
herzlich,cordial,Herzlichen Glückwunsch!,Congratulations!
heute,today,Heute kann ich etwas früher nach Hause gehen.,Today I can go home a little earlier.
hier,here,Hier wohne ich.,I live here.
hierher,"this way, here",Ich komme oft hierher. In diesem Café gibt es guten Kuchen.,"I come here often. In this cafe, there are good cakes."
"die Hilfe, -n",help,Vielen Dank für Ihre Hilfe.,Many thanks for your help.
"der Himmel, -",sky,Wir hatten im Urlaub so tolles Wetter.,We had such great weather on vacation.
hinten,"behind, at the back",Wo möchtest du sitzen? Hinten oder vorne?,Where do you want to sit? Rear or front?
hinter/hinter-,behind,Hinter dem Haus haben wir einen Garten.,Behind the house we have a garden.
hinterher,"afterwards, after",Vor der Prüfung habe ich so viel gelernt. Hinterher habe ich vieles wieder vergessen.,I learned so much before the exam. Afterwards I forgot many things again.
"hinterlassen, hinterlässt, hinterließ, hat hinterlassen",to leave,Möchten Sie eine Nachricht hinterlassen?,Would you like to leave a message?
hinweisen,"to point to, to refer to","Wir möchten Sie darauf hinweisen, dass das Rauchen am Bahnsteig nicht erlaubt ist.",We would like to point out that smoking is not allowed on the platform.
historisch,historical,Wir waren mit unserer Klasse im Historischen Museum.,We were with our class in the Historical Museum.
"der Hit, -s","hit (song, etc.)",Am Samstag kommt eine Sendung mit den Hits der Woche.,On Saturday comes a show with the hits of the week.
die Hitze (Sg.),heat,Gestern war eine schreckliche Hitze!,Yesterday was a terrible heat!
"das Hobby, -s",hobby,Ich habe keine Zeit mehr für meine Hobbys.,I do not have time for my hobbies anymore.
hoch,high,Der Berg ist fast 3000 m hoch.,The mountain is almost 3000 m high.
