german_word,english_translation,german_sentence,english_sentence
"werfen, wirft, warf, hat geworfen",to throw,Die Kinder haben Steine ins Wasser geworfen.,The children threw stones into the water.
"das Werk, -e","work, job",Wir haben gestern das Werk besichtigt.,We visited the factory yesterday.
"die Werkstatt, -""en","workshop, garage",Mein Wagen ist zurzeit in der Werkstatt.,My car is currently in the workshop.
"das Werkzeug, -e",tools,Wir hatten kein Werkzeug für die Reparatur dabei.,We did not have any tools for the repair.
wert,worth,Das Auto ist vielleicht noch 1000 Euro wert.,The car is maybe worth 1000 euros.
"der Wert, -e",value,Das Haus hat einen Wert von ca. 1 Mio. Euro.,The house has a value of about 1 million euros.
weshalb,why,Weshalb rufst du nicht mal an?,Why do not you even call?
"der Westen, West, West- (Sg.)",west,Das Zimmer geht nach Westen.,The room faces west.
westlich,west,Das Dorf liegt westlich von Frankfurt.,The village is located west of Frankfurt.
"der Wettbewerb, -e",competition,Meine Tochter hat bei einem Malwettbewerb gewonnen.,My daughter won a painting contest.
das Wetter (Sg.),weather,Ich habe Radio gehört. Das Wetter soll schön werden.,I heard radio. The weather should be nice.
"der Wetterbericht, -e",weather report,Hast du schon den Wetterbericht gehört?,Have you already heard the weather report?
wichtig,important,Die Prüfung ist sehr wichtig für mich.,The exam is very important to me.
"widersprechen, widerspricht, widersprach, hat widersprochen",to contradict,Da muss ich Ihnen widersprechen.,I have to contradict you.
wie,how,Wie heißt du?,What is your name?
wieder/wieder-,again,Wann kommst du wieder?,When are you coming back?
"wiederholen, wiederholt, wiederholte, hat wiederholt",to repeat,Können Sie die Nummer bitte wiederholen?,Can you please repeat the number?
"wiegen, wiegt, wog, hat gewogen",to weigh,Wie viel wiegst du?,How much do you weigh?
"die Wiese, -n",meadow,Vor unserem Haus ist eine Wiese mit Bäumen.,In front of our house is a meadow with trees.
wieso,why,Wie lange sind Sie hier? - Wieso fragen Sie?,How long have you been here? - Why are you asking?
wie viel/wie viele,how long,Wie viel Geld hast du dabei?,How much money do you have?
willkommen,welcome,Herzlich willkommen in Köln.,Welcome to Cologne.
"der Wind, -e",wind,Der Wind kommt heute von Westen.,The wind is coming from the west today.
windig,windy,Es ist heute sehr windig.,It is very windy today.
"winken, winkt, winkte, hat gewinkt",to wave,Wir haben meine Mutter zum Zug gebracht. Die Kinder haben gewinkt.,We brought my mother to the train. The children waved.
"wirken, wirkt, wirkte, hat gewirkt","to work, have an effect",Die Tabletten haben nicht gewirkt.,The tablets did not work.
"die Wirkung, -en",effect,Welche Nebenwirkungen hat dieses Medikament?,What are the side effects of this drug?
wirklich,really,Du glaubst mir nicht? Es ist aber wirklich so.,You do not believe me? It is really like that.
"die Wirklichkeit, -en",reality,Im Reisebüro haben sie gesagt: ein schönes Hotel. Die Wirklichkeit sieht ganz anders aus.,At the travel agency they said: a nice hotel. The reality is very different.
"der Wirt, -e",landlord,Ich kenne die Wirtin von diesem Lokal. Sie ist sehr nett.,I know the landlady of this place. She is very nice.
"die Wirtschaft, -en",economics,In der Schule lernen die Kinder viel über Wirtschaft und Politik.,"At school, the children learn a lot about business and politics."
"wissen, weiß, wusste, hat gewusst",to know,"Weißt du, wie der Hausmeister heißt?",Do you know what the caretaker's name is?
"der Witz, -e",joe,Wir haben Witze erzählt und viel gelacht.,We told jokes and laughed a lot.
wo,where,Wo waren Sie im Urlaub?,Where were they in their holidays?
woher,from where,Woher kommst du?,Where are you from?
wohin,to where,Wohin kommt der Schrank?,Where is the closet?
wohl,well,Kann ich nach Hause gehen? Ich fühle mich nicht wohl.,Can I go home? I do not feel comfortable.
"wohnen, wohnt, wohnte, hat gewohnt",to live,Wir wohnen in einem alten Haus.,We live in an old house.
"das Wohngeld, -er","housing money, housing allowance",Wo kann ich Wohngeld beantragen?,Where can I apply for housing allowance?
