german_word,english_translation,german_sentence,english_sentence
ab,"from, off",Die Fahrt kostet ab Hamburg 200 Euro.,The journey costs 200 Euro from Hamburg.
"abbiegen, biegt ab, bog ab, ist abgebogen","to turn off, bend",An der nächsten Kreuzung müssen Sie links abbiegen.,At the next junction you have to turn left.
"die Abbildung, -en",Illustration,"Hier in der Abbildung sehen Sie, wie man das Gerät einschaltet.",Here you can see how to turn on the device.
aber,but,"Heute kann ich nicht, aber morgen ganz bestimmt.","I can not today, but certainly tomorrow."
"der Abfall, -""e","waste, rubbish, garbage",Werfen Sie den Bioabfall in die grüne Tonne.,Throw the bio-waste into the green bin.
"abfahren, fährt ab, fuhr ab, ist abgefahren",to depart,Unser Zug ist pünktlich abgefahren.,Our train left on time.
"das Abgas, -e","exhaust, waste gas",Abgase aus Industrie und Haushalten verschmutzen die Luft.,Exhaust gases from industry and households pollute the air.
"abgeben, gibt ab, gab ab, hat abgegeben",to hand in,Ich soll dieses Päckchen bei Herrn Müller abgeben.,I should hand over this package to Mr. Müller.
"abhängen, hängt ab, hing ab, hat abgehangen","to take down, uncouple, depend upon","Vielleicht bleiben wir ein paar Tage länger, das hängt vom Wetter ab.","Maybe we stay a few days longer, it depends on the weather."
abhängig,dependent on,Gregor ist finanziell von seinen Eltern abhängig.,Gregor is financially dependent on his parents.
"abheben, hebt ab, hob ab, hat abgehoben",to lift (up),Für die Reise habe ich 500 Euro von meinem Konto abgehoben.,"For the trip, I have lifted 500 € from my account."
"abholen, holt ab, holte ab, hat abgeholt",to pick up (from a place),Meine Freundin hat mich vom Bahnhof abgeholt.,My girlfriend picked me up from the train station.
das Abitur (Sg.),school graduation exam,Meine Tochter hat gerade Abitur gemacht.,My daughter just graduated from high school.
"ablehnen, lehnt ab, lehnte ab, hat abgelehnt",to refuse,"Es tut mir leid, Ihr Antrag ist abgelehnt.","I'm sorry, your application is rejected."
"abmachen, macht ab, machte ab, hat abgemacht","to take off, agree","Wir hatten doch abgemacht, dass du die Getränke besorgst.",We had agreed that you get the drinks.
"abnehmen, nimmt ab, nahm ab, hat abgenommen","to take off, remove, take away, loose weight",Morgen können wir den Verband abnehmen.,Tomorrow we can remove the bandage.
"abonnieren, abonniert, abonnierte, hat abonniert",to subscribe,Diese Zeitschrift würde ich gerne abonnieren.,I would like to subscribe to this magazine.
"das Abonnement, -s",subscription,Ich habe das Abonnement gekündigt.,I have canceled the subscription.
"der Abschluss, -""sse",school graduation or result,Ein guter Schulabschluss ist sehr wichtig.,A good education is very important.
"der Absender, -",sender,Schicken Sie das Päckchen an den Absender zurück.,Send the parcel back to the sender.
"die Absicht, -en",intention,Entschuldigen Sie bitte. Meine Tochter hat das nicht mit Absicht gemacht.,Excuse me please. My daughter did not do that on purpose.
absolut,absolute,"Was Sie da sagen, ist absolut falsch.",What you say is absolutely wrong.
"abstimmen, stimmt ab, stimmte ab, hat abgestimmt",to vote,Lasst uns über diesen Punkt abstimmen.,Let's vote on this point.
"die Abteilung, -en",Department,Meine Freundin arbeitet in der Abteilung von Frau Kaufmann.,My girlfriend works in the department of Mrs. Kaufmann.
"abwaschen, wäscht ab, wusch ab, hat abgewaschen",wash up,Ich muss noch das Geschirr abwaschen.,I still have to wash the dishes.
ach,Oh,"Sie sind krank? Ach, das tut mir aber leid.","You are sick? Oh, I'm sorry."
"achten auf, achtet, achtete, hat geachtet",to pay attention (to),"Achten Sie bitte darauf, dass abends immer alle Fenster geschlossen sind.",Please make sure that all windows are closed in the evening.
die Achtung (Sg.),"Danger, Attention","Achtung, hier endet die Straße!","Attention, the road ends here!"
"die Adresse, -n",address,Hast du schon meine neue Adresse?,Do you already have my new address?
"die Agentur, -en",Agency,Ich habe einen Brief von der Agentur für Arbeit bekommen.,I got a letter from the employment agency.
ähnlich,similar,Oleg sieht seinem Bruder sehr ähnlich.,Oleg looks very much like his brother.
