target_word,similar_words
a priori,apeurer
abaisser,"affaisser, amasser, apaiser"
abandon,abandonné
abandonné,abandon
abasourdi,"absurde, assourdi"
abattoir,abattre
abattre,"abattoir, abattu"
abattu,abattre
abcès,accès
abdiquer,astiquer
aberrant,"arrivant, arrogant"
aboi,"aboli, abri, aloi"
aboli,"aboi, abolir"
abolir,"aboli, abonder, abonner, aborder"
abondance,abondant
abondant,abondance
abonder,"abolir, abonner, aborder, aboutir"
abonner,"abolir, abonder, abonné, aboutir, adonner"
abonné,abonner
abord,aborder
aborder,"abolir, abonder, abord, aboutir, absorber"
aboutir,"abonder, abonner, aborder, aboyer, abrutir"
aboyer,aboutir
abreuver,"abreuvoir, abriter, abrutir, abréger"
abreuvoir,"abreuver, abrutir"
abri,aboi
abricot,abrupt
abriter,"abreuver, abrutir"
abrupt,"abricot, abruti"
abruti,"abrupt, abrutir"
abrutir,"aboutir, abreuver, abreuvoir, abriter, abruti"
abréger,"abreuver, abrutir"
absence,"absent, absenter, abside, absinthe, abstinence"
absent,"absence, absenter"
absenter,"absence, absent, absinthe, absorber, abstenir"
abside,"absence, absinthe, absoudre"
absinthe,"absence, absenter, abside"
absorber,"aborder, absenter, absorbé, absoudre, arborer"
absorbé,absorber
absoudre,"abside, absorber, absurde"
abstenir,absenter
abstinence,absence
abstrait,attrait
absurde,"abasourdi, absence, absoudre"
abus,"abuser, abusif, anus"
abuser,"abus, amuser"
abusif,abus
abîme,abîmer
abîmer,abîme
académie,accalmie
accabler,"accablé, accalmie, accaparer, accepter, acclamer"
accablé,"accabler, accusé"
accalmie,"académie, accabler, acclamer, accolade"
accaparer,"accabler, accepter"
accent,accident
accentuer,"accepter, accoster, accoter"
accepter,"accabler, accaparer, accentuer, acclamer, accoler"
accident,"accent, accidenté"
accidenté,accident
acclamer,"accabler, accalmie, accepter, accolade, accoler"
accolade,"accalmie, acclamer, accoler, accorder, accouder"
accoler,"accabler, accepter, acclamer, accolade, accomplir"
accompli,accroupi
accomplir,"accoler, accourir"
accord,accorder
accorder,"aborder, accabler, accepter, acclamer, accolade"
accoster,"accabler, accentuer, accepter, acclamer, accoler"
accoter,"accabler, accentuer, accepter, acclamer, accoler"
accoucher,"accoler, accorder, accoster, accoter, accouder"
accouder,"accabler, accepter, acclamer, accolade, accoler"
accoudoir,"accorder, accouder, accourir, accéder"
accoupler,"accabler, accepter, accoler, accorder, accoster"
accourir,"accoler, accomplir, accorder, accoster, accoter"
accoutumer,accoter
accroc,accroché
accrocher,"accoler, accorder, accoster, accoter, accouder"
accroché,accroc
accroupi,"accompli, accourir"
accroupir,"accouder, accourir"
acculer,"accabler, accepter, acclamer, accoler, accorder"
accumuler,"accabler, accoler, accouder, acculer, accuser"
accusateur,"accoster, accuser"
accuser,"accabler, accepter, acclamer, accorder, accoster"
accusé,"accablé, accuser, accès"
accès,"abcès, accusé"
accéder,"accabler, accepter, acclamer, accorder, accoster"
accélérer,"accoler, acculer, accéder, accéléré"
accéléré,"accoler, acculer, accélérer"
acharner,"acharné, acheter, achever, ahaner, archange"
acharné,"acharner, achevé"
acheminer,"acheter, achever"
acheter,"accepter, acharner, acheminer, acheteur, achever"
acheteur,"accepter, acheter, achever, acteur"
achever,"acharner, acheminer, acheter, acheteur, achevé"
achevé,"acharné, achever"
acide,"acier, aide, aider, aride, avide"
acier,"acide, aider, aimer"
acquis,acquit
acquit,"acquis, acuité"
acquérir,accourir
acrobate,acrobatie
acrobatie,acrobate
acte,"acteur, apte"
acteur,"acheteur, acte, activer, auteur"
actionner,activer
activer,"acteur, actionner"
acuité,acquit
acéré,aéré
adapter,adopter
addition,"adoption, ambition, audition, aviation"
adepte,adopté
adjectif,affectif
adjoint,adjudant
adjudant,adjoint
admirable,"adorable, amiable"
admirateur,admirer
admirer,admirateur
adonner,"abonner, adoucir, amidonner"
adopter,"adapter, adopté, adorateur, adoucir"
adoptif,"adoption, adopté"
adoption,"addition, adoptif, audition"
adopté,"adepte, adopter, adoptif"
adorable,"admirable, agréable"
adorateur,"adopter, adorer, armateur"
adorer,"adorateur, adoucir"
adosser,"adoucir, adresser"
adoucir,"adonner, adopter, adorer, adosser"
adresse,"adresser, agresser"
adresser,"adosser, adresse, agresser, agresseur"
aduler,adulte
adulte,"aduler, adultère"
adultère,"adulte, austère"
advenir,avenir
adversaire,adverse
adverse,"adversaire, averse"
affable,"affaibli, affaler, affiche, affre, affubler"
affaibli,affable
affaiblir,"affaler, affubler"
affaire,"affairer, affairé, affiche, affirmer, affre"
affairer,"affaire, affairé, affaler, affamer, affecter"
affairé,"affaire, affairer, affecté, affinité, affolé"
affaisser,"abaisser, affaler, affamer, afficher, affiner"
affaler,"affable, affaiblir, affairer, affaisser, affamer"
affamer,"affairer, affaisser, affaler, affamé, affecter"
affamé,"affamer, affecté"
affecter,"affairer, affaler, affamer, affectif, affecté"
affectif,"adjectif, affecter, affecté"
affecté,"affairé, affamé, affecter, affectif, affilé"
affermir,"affamer, affecter, affirmer"
affiche,"affable, affaire, afficher, affre"
afficher,"affairer, affaisser, affaler, affamer, affecter"
affilé,"affecté, affinité, affolé"
affiner,"affairer, affaisser, affecter, afficher, affirmer"
affinité,"affairé, affecté, affilé"
affirmer,"affaire, affairer, affaisser, affaler, affamer"
affleurer,affluer
affliger,"affairer, affaler, affamer, affecter, afficher"
affluer,"affairer, affaler, affecter, afficher, affirmer"
afflux,affluer
affolant,affront
affoler,"affairer, affaler, affecter, afficher, affirmer"
affolé,"affairé, affecté, affilé, affoler"
affre,"affable, affaire, affairé, affiche, affreux"
affreux,affre
affront,"affolant, affronter, affût"
affronter,"affiner, affoler, affront, affûter"
affubler,"affable, affaiblir, affairer, affaler, affamer"
affût,"affront, affûter"
affûter,"affairer, affecter, afficher, affirmer, affliger"
afin de,afin que
afin que,afin de
africain,américain
agence,agencer
agencer,"agence, argenter"
agent,argent
aggraver,agrafer
agile,"aigle, aile, angle, argile, asile"
agilité,agité
agir,aire
agitateur,"agiter, aviateur"
agiter,agitateur
agité,agilité
agneau,anneau
agonie,agoniser
agoniser,"agonie, aiguiser, angoisse, angoisser"
agrafe,"agrafer, agréable"
agrafer,"aggraver, agrafe, agrandir, agresser, agripper"
agrandir,"agrafer, amandier, arrondir"
agresser,"adresse, adresser, agrafer, agresseur, agressif"
agresseur,"adresser, agresser"
agressif,"agresser, agression"
agression,agressif
agricole,"agréable, article"
agriculteur,agriculture
agriculture,agriculteur
agripper,"agrafer, agresser, agréer"
agréable,"adorable, agrafe, agricole"
agréer,"agresser, agripper, aigreur, aigrir, augurer"
agrément,"aisément, argument, armement"
ahaner,acharner
ahuri,ahurir
ahurir,ahuri
aide,"acide, aider, aile, aine, aire"
aider,"acide, acier, aide, aimer, aride"
aigle,"agile, aigre, aiguille, aile, angle"
aigre,"aigle, aigrette, aigreur, aigri, aire"
aigrelet,aigrette
aigrette,"aigre, aigrelet, assiette"
aigreur,"agréer, aigre, aigrir, augurer"
aigri,"aigre, aigrir, amaigri"
aigrir,"agréer, aigreur, aigri, aiguiser, augurer"
aiguille,"aigle, aiguiser, anguille"
aiguiller,"aiguiser, anguille"
aiguiser,"agoniser, aigrir, aiguille, aiguiller, aiguisé"
aiguisé,aiguiser
aile,"agile, aide, aigle, ailé, aine"
ailé,"aile, aimé, aisé"
aimable,amiable
aimant,"aimanter, amant, amante, amont, aménité"
aimanter,"aimant, aimer, amandier, amante, amateur"
aimer,"acier, aider, aimanter, amer, animer"
aimé,"ailé, aisé, animé, armé"
aine,"aide, aile, aire, aise, ange"
aire,"agir, aide, aigre, aile, aine"
aisance,"aise, alliance, ambiance"
aise,"aide, aile, aine, aire, aisance"
aisé,"ailé, aimé, aise, anis, avis"
aisément,"agrément, aliment"
ajouter,ajuster
ajuster,"ajouter, ajusté"
ajusté,ajuster
alangui,alanguir
alanguir,"alangui, alpaguer, aplanir"
alarme,"alarmer, arme"
alarmer,"acclamer, alarme, armer"
alentour,"alerter, aventure"
alerte,"alerter, alerté"
alerter,"alentour, alerte, alerté, alterner"
alerté,"alerte, alerter"
algue,algèbre
algèbre,algue
algérien,aérien
alias,atlas
alignement,aliment
aligner,"affliger, aligné, alimenter, aliéner, assigner"
aligné,aligner
aliment,"aisément, alignement, alimenter"
alimentaire,alimenter
alimenter,"aligner, aliment, alimentaire, aliéner"
aliéner,"aligner, alimenter"
allant,alléchant
aller,"allier, allonger, allouer, allure, allécher"
alliance,"aisance, ambiance"
allier,"aller, allonger, allouer, allure, allécher"
allié,"allongé, allée"
allo,"allô, aloi"
allonger,"aller, allier, allongé, allouer, allumer"
allongé,"allié, allonger, allumé"
allouer,"aller, allier, allonger, allumer, allure"
allumer,"allonger, allouer, allumé, allécher, alléguer"
allumé,"allongé, allumer"
allure,"aller, allier, allouer"
allègre,"allée, alléger, allégorie, alléguer"
allègrement,allégrement
alléchant,allant
allécher,"aller, allier, allonger, allouer, allumer"
allée,"aller, allié, allègre"
alléger,"allonger, allègre, allécher, allégorie, alléguer"
allégorie,"allègre, alléger, alléguer"
allégrement,allègrement
alléguer,"aller, allier, allonger, allouer, allumer"
allô,allo
aloi,"aboi, allo"
alourdir,"accourir, assourdi, assourdir"
alpaguer,"alanguir, alléguer"
alterner,"alerter, altier, altérer, atterrer"
