target_word,similar_words
a priori,apeurer
abasourdi,absurde
abattoir,abattre
abattre,"abattoir, abattu"
abattu,abattre
abcès,accès
aboi,"aboli, abri, aloi"
aboli,"aboi, abolir"
abolir,"aboli, abonder, abonner, aborder"
abonder,abolir
abonner,"abolir, abonné"
abonné,abonner
abord,aborder
aborder,"abolir, abord"
aboutir,aboyer
aboyer,aboutir
abreuver,abreuvoir
abreuvoir,abreuver
abri,aboi
abricot,abrupt
abriter,abrutir
abrupt,"abricot, abruti"
abruti,"abrupt, abrutir"
abrutir,"abriter, abruti"
absence,"absent, abside"
absent,"absence, absenter"
absenter,absent
abside,"absence, absinthe, absoudre"
absinthe,abside
absoudre,abside
absurde,abasourdi
abus,"abuser, abusif, anus"
abuser,"abus, amuser"
abusif,abus
abîme,abîmer
abîmer,abîme
accablé,accusé
accent,accident
accident,"accent, accidenté"
accidenté,accident
accoler,"acculer, accéléré"
accord,accorder
accorder,accord
accoster,accusateur
accouder,"accoudoir, accéder"
accoudoir,"accouder, accéder"
accroc,accroché
accroché,accroc
acculer,"accoler, accéléré"
accusateur,accoster
accuser,accusé
accusé,"accablé, accuser, accès"
accès,"abcès, accusé"
accéder,"accouder, accoudoir"
accéléré,"accoler, acculer"
acharner,ahaner
acharné,achevé
acheter,acheteur
acheteur,"acheter, acteur"
achever,achevé
achevé,"acharné, achever"
acide,"acier, aide, aider, aride, avide"
acier,"acide, aider, aimer"
acquis,acquit
acquit,"acquis, acuité"
acrobate,acrobatie
acrobatie,acrobate
acte,"acteur, apte"
acteur,"acheteur, acte, activer, auteur"
activer,acteur
acuité,acquit
acéré,aéré
adapter,adopter
adepte,adopté
adopter,"adapter, adopté"
adoptif,adopté
adopté,"adepte, adopter, adoptif"
adorer,adoucir
adoucir,adorer
aduler,adulte
adulte,"aduler, adultère"
adultère,adulte
advenir,avenir
adverse,averse
affable,"affaibli, affre"
affaibli,affable
affaiblir,affubler
affaire,"affairé, affre"
affairé,"affaire, affolé, affre"
affaler,"affluer, affoler"
affamer,affamé
affamé,"affamer, affecté"
affecté,"affamé, affilé, affolé"
affermir,affirmer
affiche,affre
affilé,"affecté, affinité, affolé"
affinité,affilé
affirmer,affermir
affluer,"affaler, afflux, affoler"
afflux,affluer
affoler,"affaler, affluer, affolé"
affolé,"affairé, affecté, affilé, affoler"
affre,"affable, affaire, affairé, affiche, affreux"
affreux,affre
affront,affût
affubler,affaiblir
affût,"affront, affûter"
affûter,affût
agence,agencer
agencer,agence
agent,argent
agile,"aigle, aile, angle, argile, asile"
agilité,agité
agir,aire
agité,agilité
agneau,anneau
agonie,agoniser
agoniser,agonie
agrafe,"agrafer, agréable"
agrafer,agrafe
agresser,"agresseur, agréer"
agresseur,agresser
agriculteur,agriculture
agriculture,agriculteur
agripper,agréer
agréable,agrafe
agréer,"agresser, agripper, aigreur, aigrir, augurer"
ahaner,acharner
ahuri,ahurir
ahurir,ahuri
aide,"acide, aider, aile, aine, aire"
aider,"acide, acier, aide, aimer, aride"
aigle,"agile, aigre, aiguille, aile, angle"
aigre,"aigle, aigrette, aigreur, aigri, aire"
aigrette,aigre
aigreur,"agréer, aigre, aigrir, augurer"
aigri,"aigre, aigrir, amaigri"
aigrir,"agréer, aigreur, aigri, aiguiser, augurer"
aiguille,aigle
aiguiser,aigrir
aile,"agile, aide, aigle, ailé, aine"
ailé,"aile, aimé, aisé"
aimable,amiable
aimant,"aimanter, amant, amante, amont, aménité"
aimanter,"aimant, aimer, amante"
aimer,"acier, aider, aimanter, amer, animer"
aimé,"ailé, aisé, animé, armé"
aine,"aide, aile, aire, aise, ange"
aire,"agir, aide, aigre, aile, aine"
aisance,aise
aise,"aide, aile, aine, aire, aisance"
aisé,"ailé, aimé, aise, anis, avis"
ajuster,ajusté
ajusté,ajuster
alarme,"alarmer, arme"
alarmer,"alarme, armer"
alerte,"alerter, alerté"
alerter,"alerte, alerté"
alerté,"alerte, alerter"
algue,algèbre
algèbre,algue
algérien,aérien
alias,atlas
aligner,aligné
aligné,aligner
alimentaire,alimenter
alimenter,alimentaire
aller,"allier, allonger, allouer, allure, allécher"
allier,"aller, allonger, allouer, allure, allécher"
allié,"allongé, allée"
allo,"allô, aloi"
allonger,"aller, allier"
allongé,"allié, allumé"
allouer,"aller, allier, allure"
allumer,allumé
allumé,"allongé, allumer"
allure,"aller, allier, allouer"
allègre,"allée, alléger, allégorie, alléguer"
allègrement,allégrement
allécher,"aller, allier"
allée,"aller, allié, allègre"
alléger,"allègre, allégorie, alléguer"
allégorie,"allègre, alléger, alléguer"
allégrement,allègrement
alléguer,"aller, allier, allègre, alléger, allégorie"
allô,allo
aloi,"aboi, allo"
alterner,altier
altier,"allier, alterner, aléatoire"
aléatoire,altier
amadou,amadouer
amadouer,amadou
amaigri,aigri
amande,"amandier, amante, amazone, amende"
amandier,amande
amant,"aimant, amante, amont, aménité, avant"
amante,"aimant, aimanter, amande, amant, amazone"
amarre,"amarrer, amazone"
amarrer,amarre
amateur,ameuter
amazone,"amande, amante, amarre"
ambre,"ambré, arbre"
ambré,ambre
amen,"amende, amer, arme"
amende,"amande, amen"
amer,"aimer, amen, ameuter, arme, armer"
ameuter,"amateur, amer"
amiable,aimable
amical,"amicale, amiral"
