target_word,similar_words
a priori,apeurer
abasourdi,absurde
abattoir,abattre
abattre,"abattoir, abattu"
abattu,abattre
abcès,accès
aboi,"aboli, abri, aloi"
aboli,"aboi, abolir"
abolir,"aboli, abonder, abonner, aborder"
abonder,"abolir, abonner, aborder, aboutir"
abonner,"abolir, abonder, abonné, aboutir, adonner"
abonné,abonner
abord,aborder
aborder,"abolir, abonder, abord, aboutir, arborer"
aboutir,"abonder, abonner, aborder, aboyer, abrutir"
aboyer,aboutir
abreuver,abreuvoir
abreuvoir,abreuver
abri,aboi
abricot,abrupt
abriter,abrutir
abrupt,"abricot, abruti"
abruti,"abrupt, abrutir"
abrutir,"aboutir, abriter, abruti, abréger"
abréger,abrutir
absence,"absent, abside, absurde"
absent,"absence, absenter"
absenter,absent
abside,"absence, absinthe, absoudre"
absinthe,abside
absoudre,abside
absurde,"abasourdi, absence"
abus,"abuser, abusif, anus"
abuser,"abus, amuser"
abusif,abus
abîme,abîmer
abîmer,abîme
accabler,"accablé, accoter"
accablé,"accabler, accusé"
accent,accident
accepter,"accoter, acheter"
accident,"accent, accidenté"
accidenté,accident
acclamer,accoter
accoler,"accoter, acculer, accéléré"
accord,accorder
accorder,"accord, accoter"
accoster,"accoter, accusateur"
accoter,"accabler, accepter, acclamer, accoler, accorder"
accouder,"accoter, accoudoir, accéder"
accoudoir,"accouder, accéder"
accourir,accoter
accroc,accroché
accroché,accroc
acculer,"accoler, accuser, accéléré"
accusateur,accoster
accuser,"acculer, accusé"
accusé,"accablé, accuser, accès"
accès,"abcès, accusé"
accéder,"accouder, accoudoir"
accéléré,"accoler, acculer"
acharner,"acheter, ahaner"
acharné,achevé
acheter,"accepter, acharner, acheteur, achever"
acheteur,"acheter, acteur"
achever,"acheter, achevé"
achevé,"acharné, achever"
acide,"acier, aide, aider, aride, avide"
acier,"acide, aider, aimer"
acquis,acquit
acquit,"acquis, acuité"
acrobate,acrobatie
acrobatie,acrobate
acte,"acteur, apte"
acteur,"acheteur, acte, activer, auteur"
activer,acteur
acuité,acquit
acéré,aéré
adapter,adopter
adepte,adopté
adonner,"abonner, adoucir"
adopter,"adapter, adopté, adoucir"
adoptif,adopté
adopté,"adepte, adopter, adoptif"
adorateur,adorer
adorer,"adorateur, adoucir"
adosser,adoucir
adoucir,"adonner, adopter, adorer, adosser"
aduler,adulte
adulte,"aduler, adultère"
adultère,adulte
advenir,avenir
adverse,averse
affable,"affaibli, affaler, affiche, affre"
affaibli,affable
affaiblir,affubler
affaire,"affairer, affairé, affiche, affirmer, affre"
affairer,"affaire, affamer"
affairé,"affaire, affecté, affolé, affre"
affaler,"affable, affamer, affluer, affoler"
affamer,"affairer, affaler, affamé, affecter, affermir"
affamé,"affamer, affecté"
affecter,affamer
affecté,"affairé, affamé, affilé, affolé"
affermir,"affamer, affirmer"
affiche,"affable, affaire, affre"
afficher,affamer
affilé,"affecté, affinité, affolé"
affinité,affilé
affirmer,"affaire, affamer, affermir"
affliger,affamer
affluer,"affaler, afflux, affoler"
afflux,affluer
affoler,"affaler, affluer, affolé"
affolé,"affairé, affecté, affilé, affoler"
affre,"affable, affaire, affairé, affiche, affreux"
affreux,affre
affront,affût
affubler,"affaiblir, affamer"
affût,"affront, affûter"
affûter,affût
agence,agencer
agencer,agence
agent,argent
agile,"aigle, aile, angle, argile, asile"
agilité,agité
agir,aire
agitateur,agiter
agiter,agitateur
agité,agilité
agneau,anneau
agonie,agoniser
agoniser,agonie
agrafe,"agrafer, agréable"
agrafer,agrafe
agresser,"agresseur, agréer"
agresseur,agresser
agriculteur,agriculture
agriculture,agriculteur
agripper,agréer
agréable,agrafe
agréer,"agresser, agripper, aigreur, aigrir, augurer"
ahaner,acharner
ahuri,ahurir
ahurir,ahuri
aide,"acide, aider, aile, aine, aire"
aider,"acide, acier, aide, aimer, aride"
aigle,"agile, aigre, aiguille, aile, angle"
aigre,"aigle, aigrette, aigreur, aigri, aire"
aigrette,aigre
aigreur,"agréer, aigre, aigrir, augurer"
aigri,"aigre, aigrir, amaigri"
aigrir,"agréer, aigreur, aigri, aiguiser, augurer"
aiguille,aigle
aiguiser,aigrir
aile,"agile, aide, aigle, ailé, aine"
ailé,"aile, aimé, aisé"
aimable,amiable
aimant,"aimanter, amant, amante, amont, aménité"
aimanter,"aimant, aimer, amante"
aimer,"acier, aider, aimanter, amer, animer"
aimé,"ailé, aisé, animé, armé"
aine,"aide, aile, aire, aise, ange"
aire,"agir, aide, aigre, aile, aine"
aisance,aise
aise,"aide, aile, aine, aire, aisance"
aisé,"ailé, aimé, aise, anis, avis"
ajouter,ajuster
ajuster,"ajouter, ajusté"
ajusté,ajuster
alarme,"alarmer, arme"
alarmer,"alarme, armer"
alerte,"alerter, alerté"
alerter,"alerte, alerté"
alerté,"alerte, alerter"
algue,algèbre
algèbre,algue
algérien,aérien
alias,atlas
aligner,"aligné, aliéner"
aligné,aligner
alimentaire,alimenter
alimenter,alimentaire
aliéner,aligner
allant,alléchant
aller,"allier, allonger, allouer, allure, allécher"
allier,"aller, allonger, allouer, allure, allécher"
allié,"allongé, allée"
allo,"allô, aloi"
allonger,"aller, allier"
allongé,"allié, allumé"
allouer,"aller, allier, allumer, allure"
allumer,"allouer, allumé"
