chinese_word,french_translation,chinese_sentence,french_sentence
阿姨,tante,这是我的阿姨。,C'est ma tante.
啊,ah,我明白了啊！,"Ah, je comprends !"
矮,petit,这棵树很矮。,Cet arbre est petit.
安静,calme,请保持安静。,Veuillez rester calme.
八,huit,我有八本书。,J'ai huit livres.
把,prendre,把书放在桌子上。,Mets le livre sur la table.
爸爸,papa,我爸爸在工作。,Mon papa travaille.
吧,d'accord,我们去吃饭吧。,"Allons manger, d'accord ?"
白,blanc,这朵花是白色的。,Cette fleur est blanche.
百,cent,这本书有一百页。,Ce livre a cent pages.
班,classe,我在三年级二班。,Je suis dans la classe 2 en troisième année.
搬,déménager,我们明天要搬家。,Nous déménageons demain.
半,demi,现在是八点半。,Il est huit heures et demie.
帮忙,aider,你能帮忙吗？,Peux-tu m'aider ?
帮助,assistance,谢谢你的帮助。,Merci pour ton assistance.
包,emballer/couvrir,请把礼物包起来。,"S'il te plaît, emballe le cadeau."
杯子,verre/tasse,这个杯子很漂亮。,Cette tasse est très jolie.
北方,nord,我来自中国北方。,Je viens du nord de la Chine.
北京,Pékin,北京是中国的首都。,Pékin est la capitale de la Chine.
被,être/par,他被老师表扬了。,Il a été félicité par le professeur.
本,livre/origine,这本书很有意思。,Ce livre est très intéressant.
鼻子,nez,她的鼻子很小。,Son nez est petit.
比,plus que,他比我高。,Il est plus grand que moi.
表示,exprimer,我想表示感谢。,Je voudrais exprimer ma gratitude.
表演,spectacle/jouer,她要去表演唱歌。,Elle va faire un spectacle de chant.
别,ne pas,别说话！,Ne parle pas !
别人,les autres,别人都已经走了。,Les autres sont déjà partis.
冰箱,réfrigérateur,冰箱里有牛奶。,Il y a du lait dans le réfrigérateur.
不客气,de rien,谢谢！-不客气。,Merci ! - De rien.
不,ne pas,我不喜欢咖啡。,Je n'aime pas le café.
才,talent/seulement,他很有音乐才华,Il a beaucoup de talent pour la musique
菜,plat/légume,这道菜很好吃,Ce plat est délicieux
参加,participer,我要参加这个比赛,Je vais participer à cette compétition
草,herbe,草地上有很多花,Il y a beaucoup de fleurs dans l'herbe
茶,thé,我每天早上喝茶,Je bois du thé tous les matins
差,différent/mauvais,他的成绩很差,Ses résultats sont mauvais
唱歌,chanter,她喜欢唱歌,Elle aime chanter
超市,supermarché,我去超市买东西,Je vais faire des courses au supermarché
城市,ville,北京是一个大城市,Pékin est une grande ville
吃,manger,我们一起吃午饭,Nous mangeons ensemble le déjeuner
出,sortir,他刚出门,Il vient de sortir
厨房,cuisine,妈妈在厨房做饭,Maman fait la cuisine dans la cuisine
除了,sauf/excepté,除了他都来了,Tout le monde est venu sauf lui
船,bateau,那艘船很大,Ce bateau est très grand
春,printemps,春天来了,Le printemps est arrivé
次,fois,这是我第二次来巴黎。,C'est ma deuxième fois à Paris.
从,de; depuis,他从北京来。,Il vient de Pékin.
打算,avoir l'intention de,我打算明天去购物。,J'ai l'intention d'aller faire des courses demain.
大,grand,这是一个大房子。,C'est une grande maison.
大家,tout le monde,大家都喜欢这个老师。,Tout le monde aime ce professeur.
担心,s'inquiéter,妈妈担心我的健康。,Ma mère s'inquiète pour ma santé.
蛋糕,gâteau,这个蛋糕很好吃。,Ce gâteau est délicieux.
但是,mais,我想去，但是没有时间。,"Je veux y aller, mais je n'ai pas le temps."
当然,bien sûr,当然，我会帮你。,"Bien sûr, je vais t'aider."
到,arriver à,我们到学校了。,Nous sommes arrivés à l'école.
地,particule adverbiale,她快乐地唱歌。,Elle chante joyeusement.
的,de,这是我的书。,C'est mon livre.
得,particule de degré,他跑得很快。,Il court très vite.
灯,lampe,请打开灯。,"Allume la lampe, s'il te plaît."
等,attendre,我在等公交车。,J'attends le bus.
低,bas/basse,他的声音很低,Sa voix est très basse
弟弟,petit frère,我的弟弟今年十岁,Mon petit frère a dix ans cette année
地方,endroit/lieu,这个地方很安静,Cet endroit est très calme
第一,premier/première,他是班上第一名,Il est premier de la classe
点,point/heure,现在八点了,Il est huit heures maintenant
冬,hiver,北京的冬天很冷,L'hiver à Pékin est très froid
懂,comprendre,我懂你的意思,Je comprends ce que tu veux dire
都,tout/tous,我们都喜欢吃水果,Nous aimons tous manger des fruits
短,court/courte,她的头发很短,Ses cheveux sont très courts
段,section/partie,这段话很重要,Cette section est très importante
多,beaucoup/nombreux,这里有很多人,Il y a beaucoup de gens ici
多么,combien/comme,今天天气多么好啊,Comme le temps est beau aujourd'hui
多少,combien,这个苹果多少钱,Combien coûte cette pomme
而且,et aussi/de plus,她很聪明而且很用功,Elle est intelligente et aussi travailleuse
儿子,fils,我的儿子在上学,Mon fils est à l'école
耳朵,oreille,我的耳朵疼。,Mes oreilles me font mal.
二,deux,我是第二名。,Je suis deuxième.
方便,pratique,这个地方很方便。,Cet endroit est très pratique.
放,mettre,请把书放在桌子上。,Mets le livre sur la table s'il te plaît.
放心,être rassuré,你放心吧，我会准时到。,"Sois tranquille, j'arriverai à l'heure."
非常,très,今天天气非常好。,Le temps est très beau aujourd'hui.
分,diviser,请把蛋糕分成四份。,Divise le gâteau en quatre parts.
附近,près de,超市就在附近。,Le supermarché est tout près.
敢,oser,我不敢一个人去。,Je n'ose pas y aller seul.
感冒,rhume,我昨天感冒了。,J'ai attrapé un rhume hier.
高,haut,这座山很高。,Cette montagne est très haute.
高兴,content,我今天很高兴。,Je suis très content aujourd'hui.
哥哥,grand frère,我哥哥在北京工作。,Mon grand frère travaille à Pékin.
个,classificateur,我买了三个苹果。,J'ai acheté trois pommes.
跟,avec,我想跟你一起去。,Je veux aller avec toi.
根据,selon,根据天气预报，明天会下雨。,"Selon les prévisions météo, il va pleuvoir demain."
更,encore plus,这件衣服更漂亮。,Ce vêtement est encore plus beau.
公斤,kilogramme,我买了两公斤苹果。,J'ai acheté deux kilogrammes de pommes.
公司,entreprise,他在一家大公司工作。,Il travaille dans une grande entreprise.
公园,parc,周末我喜欢去公园散步。,J'aime me promener dans le parc le weekend.
工作,travail,她找到了新工作。,Elle a trouvé un nouveau travail.
故事,histoire,妈妈给我讲了一个故事。,Maman m'a raconté une histoire.
关,fermer,请关门。,Fermez la porte s'il vous plaît.
关系,relation,他们的关系很好。,Ils ont une bonne relation.
关心,se soucier,父母很关心我的健康。,Mes parents se soucient beaucoup de ma santé.
关于,à propos de,这本书是关于中国历史的。,Ce livre est à propos de l'histoire chinoise.
国家,pays,中国是一个大国家。,La Chine est un grand pays.
果汁,jus de fruit,我想喝杯果汁。,Je voudrais un verre de jus de fruit.
孩子,enfant,这个孩子很可爱。,Cet enfant est très mignon.
害怕,avoir peur,我害怕黑暗。,J'ai peur du noir.
好,bon/bien,这个电影很好看,Ce film est très bon
好吃,délicieux,这家餐厅的菜很好吃,La nourriture dans ce restaurant est délicieuse
号,numéro/jour,今天是三号,Aujourd'hui c'est le trois du mois
喝,boire,我想喝水,Je veux boire de l'eau
和,et,我和我的朋友去商店,Mon ami et moi allons au magasin
河,rivière,这条河很长,Cette rivière est très longue
黑,noir,天空变黑了,Le ciel est devenu noir
黑板,tableau noir,老师在黑板上写字,Le professeur écrit sur le tableau noir
很,très,今天很热,Il fait très chaud aujourd'hui
后面,derrière,书包在椅子后面,Le sac est derrière la chaise
花,fleur,她喜欢红花,Elle aime les fleurs rouges
花园,jardin,我家有一个漂亮的花园,J'ai un beau jardin chez moi
画,dessiner/tableau,他会画画,Il sait dessiner
坏,mauvais/cassé,这个手机坏了,Ce téléphone est cassé
黄,jaune,我喜欢黄色的衣服,J'aime les vêtements jaunes
回,retourner,他明天回家。,Il rentre chez lui demain.
回答,répondre,请回答这个问题。,Veuillez répondre à cette question.
会,pouvoir/savoir,我会说法语。,Je sais parler français.
或者,ou,你想喝茶或者咖啡？,Tu veux du thé ou du café ?
几乎,presque,我几乎每天都运动。,Je fais presque du sport tous les jours.
机会,opportunité,这是一个好机会。,C'est une bonne opportunité.
极,extrêmement,这个餐厅极好。,Ce restaurant est extrêmement bon.
几,combien/quelques,你有几本书？,Combien de livres as-tu ?
家,maison/famille,我的家在北京。,Ma maison est à Pékin.
件,pièce/article,我买了三件衣服。,J'ai acheté trois vêtements.
健康,santé/sain,健康很重要。,La santé est importante.
教,enseigner,她教中文。,Elle enseigne le chinois.
脚,pied,我的脚很疼。,Mon pied me fait mal.
角,coin/angle,书在角落里。,Le livre est dans le coin.
叫,appeler,我叫Marie。,Je m'appelle Marie.
教室,salle de classe,我们的教室很大很亮。,Notre salle de classe est grande et lumineuse.
接,recevoir,请接一下电话。,"S'il te plaît, réponds au téléphone."
街道,rue,这条街道很安静。,Cette rue est très calme.
姐姐,grande sœur,我的姐姐在法国工作。,Ma grande sœur travaille en France.
解决,résoudre,我们需要解决这个问题。,Nous devons résoudre ce problème.
借,emprunter,我想借一本书。,Je voudrais emprunter un livre.
今天,aujourd'hui,今天天气很好。,Il fait beau aujourd'hui.
近,proche,我家离学校很近。,Ma maison est proche de l'école.
九,neuf,现在是九点钟。,Il est neuf heures.
久,longtemps,我们很久没见面了。,Cela fait longtemps qu'on ne s'est pas vus.
旧,vieux,这是一件旧衣服。,C'est un vieux vêtement.
就,juste,我就要到了。,Je vais arriver tout de suite.
句子,phrase,这个句子很简单。,Cette phrase est très simple.
决定,décider,我决定学习法语。,J'ai décidé d'apprendre le français.
咖啡,café,我每天早上喝咖啡。,Je bois du café tous les matins.
开,ouvrir,请帮我开门。,"S'il vous plaît, ouvrez-moi la porte."
开始,commencer,电影要开始了。,Le film va commencer.
看,regarder/voir,我喜欢看书。,J'aime lire des livres.
渴,avoir soif,我很渴想喝水。,"J'ai soif, je veux boire de l'eau."
可能,possible/peut-être,明天可能会下雨。,Il va peut-être pleuvoir demain.
可以,pouvoir,我可以帮你吗？,Est-ce que je peux vous aider ?
刻,quart d'heure,现在是三点一刻。,Il est trois heures et quart.
客人,invité/client,我家有客人来。,Nous avons des invités à la maison.
口,bouche,这个家有三口人。,Cette famille compte trois personnes.
哭,pleurer,孩子为什么在哭？,Pourquoi l'enfant pleure-t-il ?
快,rapide/vite,请快点儿走。,"Marchez plus vite, s'il vous plaît."
筷子,baguettes,请给我一双筷子。,"Donnez-moi une paire de baguettes, s'il vous plaît."
来,venir,他明天来北京。,Il vient à Pékin demain.
老,vieux/ancien,这是我的老师。,C'est mon professeur.
了,particule,我吃了早饭。,J'ai pris mon petit-déjeuner.
累,fatigué,我今天很累因为工作太多,Je suis fatigué aujourd'hui car j'ai trop travaillé
冷,froid,今天外面很冷,Il fait froid dehors aujourd'hui
离,quitter,他离家去上学,Il quitte la maison pour aller à l'école
离开,partir,她明天要离开北京,Elle va partir de Pékin demain
里,dans/intérieur,钱包在包里,Le portefeuille est dans le sac
礼物,cadeau,这是给你的生日礼物,C'est un cadeau d'anniversaire pour toi
两,deux,我有两本书,J'ai deux livres
了解,comprendre,我完全了解这个问题,Je comprends complètement ce problème
零,zéro,现在是零度,Il fait zéro degré maintenant
六,six,我有六个苹果,J'ai six pommes
楼,immeuble,我住在三楼,J'habite au troisième étage
路,route,这条路通向公园,Cette route mène au parc
旅游,voyager,我喜欢去中国旅游,J'aime voyager en Chine
慢,lent,请说慢一点,Parlez plus lentement s'il vous plaît
忙,occupé,我今天很忙,Je suis très occupé aujourd'hui
猫,chat,我家有一只黑猫。,J'ai un chat noir chez moi.
帽子,chapeau,这顶红帽子很漂亮。,Ce chapeau rouge est très joli.
没,ne...pas,我没吃早饭。,Je n'ai pas pris le petit-déjeuner.
没关系,ce n'est pas grave,你迟到了没关系。,Ce n'est pas grave que tu sois en retard.
每,chaque,每天我都喝咖啡。,Je bois du café chaque jour.
妹妹,petite sœur,我妹妹今年十岁。,Ma petite sœur a dix ans.
门,porte,请关上门。,Ferme la porte s'il te plaît.
米,riz,我要买一袋米。,Je veux acheter un sac de riz.
面包,pain,早餐我喜欢吃面包。,J'aime manger du pain au petit-déjeuner.
面条,nouilles,这些面条很好吃。,Ces nouilles sont délicieuses.
明白,comprendre,我明白你的意思。,Je comprends ce que tu veux dire.
明天,demain,明天我们去公园。,Demain nous allons au parc.
名字,nom,你的名字是什么？,Quel est ton nom?
拿,prendre,请拿一个杯子。,Prends un verre s'il te plaît.
