chinese_word,french_translation,chinese_sentence,french_sentence
阿姨,tante,这是我的阿姨。,C'est ma tante.
啊,ah,我明白了啊！,"Ah, je comprends !"
矮,petit/court,那个男孩很矮。,Ce garçon est petit.
安静,calme/tranquille,请保持安静。,Veuillez rester calme.
安排,arranger/organiser,我要安排明天的会议。,Je vais organiser la réunion de demain.
安全,sûr/sécurisé,这个地方很安全。,Cet endroit est sûr.
暗,sombre/obscur,房间里很暗。,La chambre est sombre.
按照,selon/d'après,我们按照计划做。,Nous agissons selon le plan.
八,huit,我有八本书。,J'ai huit livres.
把,tenir/prendre,把书放在桌子上。,Mets le livre sur la table.
爸爸,papa/père,我爸爸在工作。,Mon père travaille.
吧,d'accord,我们去吃饭吧。,"Allons manger, d'accord ?"
白,blanc,这朵花是白色的。,Cette fleur est blanche.
百,cent,这本书有一百页。,Ce livre a cent pages.
班,classe,我在三年级二班。,Je suis dans la classe 2 de troisième année.
搬,déménager/déplacer,我们明天要搬家。,Nous allons déménager demain.
半,demi/moitié,请给我半杯咖啡。,Donnez-moi une demi-tasse de café.
帮忙,aider,你能帮忙拿一下这个箱子吗？,Peux-tu m'aider à porter cette boîte ?
帮助,aide/assister,谢谢你的帮助。,Merci de ton aide.
包,emballer/contenir,请把礼物包起来。,"S'il vous plaît, emballez le cadeau."
包括,inclure/comprendre,票价包括午餐。,Le prix inclut le déjeuner.
抱,porter/embrasser,妈妈抱着小孩。,La mère porte l'enfant dans ses bras.
抱歉,désolé,非常抱歉，我迟到了。,Je suis vraiment désolé d'être en retard.
杯子,tasse/verre,这个杯子很漂亮。,Cette tasse est très belle.
北方,nord,我来自中国北方。,Je viens du nord de la Chine.
北京,Pékin,我想去北京旅游。,Je veux voyager à Pékin.
倍,fois,这个价格是以前的两倍。,Ce prix est deux fois plus élevé qu'avant.
被,être (passif),我的自行车被偷了。,Mon vélo a été volé.
本,livre/volume,这本书很有意思。,Ce livre est très intéressant.
本来,à l'origine/initialement,我本来想去看电影。,J'avais initialement prévu d'aller voir un film.
笨,stupide,他做事很笨，但是很认真。,"Il est maladroit, mais très sérieux."
鼻子,nez,我的鼻子有点感冒了。,J'ai un peu le nez qui coule.
比,plus que,他比我高。,Il est plus grand que moi.
遍,fois,我要把这本书看一遍。,Je veux lire ce livre une fois.
表格,formulaire,请填写这张表格。,Veuillez remplir ce formulaire.
表示,exprimer,他表示很感谢。,Il exprime sa gratitude.
表演,spectacle,孩子们要表演节目。,Les enfants vont faire un spectacle.
别,ne pas,别担心，一切都好。,"Ne t'inquiète pas, tout va bien."
别人,les autres,别人都去看电影了。,Les autres sont allés voir un film.
冰箱,réfrigérateur,冰箱里有牛奶。,Il y a du lait dans le réfrigérateur.
并且,et aussi,他会说中文，并且会说法语。,Il parle chinois et aussi français.
博士,docteur,她是物理学博士。,Elle est docteure en physique.
不但,non seulement,他不但会做饭，还会洗衣服。,"Non seulement il sait cuisiner, mais il sait aussi faire la lessive."
不客气,de rien,谢谢！-不客气！,Merci ! - De rien !
不,ne pas,我不喜欢咖啡。,Je n'aime pas le café.
不得不,être obligé de,我不得不去上班。,Je suis obligé d'aller travailler.
不管,peu importe,不管天气怎样，我都会来。,"Peu importe le temps, je viendrai."
部分,partie,这只是问题的一部分。,Ce n'est qu'une partie du problème.
擦,essuyer,请擦一下桌子。,"S'il te plaît, essuie la table."
猜,deviner,你猜我今天看到谁了？,Devine qui j'ai vu aujourd'hui ?
才,seulement,他才十岁。,Il n'a que dix ans.
材料,matériel,我需要买些做蛋糕的材料。,J'ai besoin d'acheter du matériel pour faire un gâteau.
菜,plat,这个菜很好吃。,Ce plat est délicieux.
参加,participer,你要参加这个活动吗？,Veux-tu participer à cette activité ?
草,herbe,草地上有很多花。,Il y a beaucoup de fleurs dans l'herbe.
茶,thé,我每天早上喝茶。,Je bois du thé tous les matins.
差,mauvais,他的成绩很差。,Ses résultats sont mauvais.
差不多,presque,我们差不多到了。,Nous sommes presque arrivés.
唱歌,chanter,她喜欢唱歌。,Elle aime chanter.
超市,supermarché,我要去超市买东西。,Je vais faire des courses au supermarché.
吵,se disputer/bruyant,他们经常吵架,Ils se disputent souvent
成功,succès/réussir,她终于成功了,Elle a finalement réussi
成熟,mûr/mature,这个水果很成熟,Ce fruit est bien mûr
城市,ville,北京是一个大城市,Pékin est une grande ville
乘坐,prendre/monter dans,我们乘坐飞机去巴黎,Nous prenons l'avion pour Paris
吃,manger,我每天都吃早饭,Je prends le petit-déjeuner tous les jours
重新,à nouveau/encore,让我们重新开始,Recommençons à nouveau
抽烟,fumer,请不要在这里抽烟,Veuillez ne pas fumer ici
出,sortir,他刚才出门了,Il vient de sortir
出差,voyage d'affaires,我明天要出差去上海,Je pars en voyage d'affaires à Shanghai demain
出生,naître,她在法国出生,Elle est née en France
厨房,cuisine,妈妈在厨房做饭,Maman fait la cuisine dans la cuisine
除了,sauf/excepté,除了周末我每天都工作,Je travaille tous les jours sauf le week-end
船,bateau,那艘船很大,Ce bateau est très grand
春,printemps,春天是最美的季节,Le printemps est la plus belle saison
次,fois,这是我第二次来巴黎。,C'est ma deuxième fois à Paris.
从,de; depuis,火车从北京到上海要五个小时。,Le train met cinq heures de Pékin à Shanghai.
从来,toujours; jamais,我从来没去过法国。,Je ne suis jamais allé en France.
粗心,négligent,他做作业很粗心。,Il est négligent quand il fait ses devoirs.
答案,réponse,这个问题的答案很简单。,La réponse à cette question est simple.
打扮,se faire beau; s'habiller,她每天都很认真地打扮。,Elle s'habille soigneusement tous les jours.
打算,avoir l'intention de,我明年打算去法国。,J'ai l'intention d'aller en France l'année prochaine.
打印,imprimer,请帮我打印这份文件。,"S'il vous plaît, imprimez ce document pour moi."
打折,faire une réduction,这家商店正在打折。,Ce magasin fait des réductions.
大,grand,这是一个大房子。,C'est une grande maison.
大概,probablement,他大概明天来。,Il viendra probablement demain.
大家,tout le monde,大家都喜欢这个老师。,Tout le monde aime ce professeur.
戴,porter,她戴着一顶红帽子。,Elle porte un chapeau rouge.
代表,représentant,他是我们公司的代表。,Il est le représentant de notre entreprise.
代替,remplacer,她今天代替我去开会。,Elle me remplace à la réunion aujourd'hui.
大夫,médecin,我需要去看大夫,J'ai besoin d'aller voir le médecin
担心,s'inquiéter,妈妈总是担心我,Maman s'inquiète toujours pour moi
蛋糕,gâteau,这个蛋糕很好吃,Ce gâteau est délicieux
但是,mais,我想去，但是没有时间,"Je veux y aller, mais je n'ai pas le temps"
当,être,他当老师已经十年了,Il est professeur depuis dix ans
当地,local,我们喜欢吃当地的食物,Nous aimons manger la cuisine locale
当然,bien sûr,你想去吗？当然想去！,Tu veux y aller ? Bien sûr que je veux !
刀,couteau,这把刀很锋利,Ce couteau est très tranchant
到,arriver,我们什么时候到北京？,Quand arrivons-nous à Pékin ?
到底,enfin,你到底想要什么？,Que veux-tu enfin ?
道歉,s'excuser,他向我道歉了,Il s'est excusé auprès de moi
得意,fier,他对考试成绩很得意,Il est fier de ses résultats d'examen
地,particule adverbiale,他慢慢地走,Il marche lentement
的,de,这是我的书,C'est mon livre
得,particule de degré,他跑得很快,Il court très vite
得,devoir,我得去上课了。,Je dois aller en cours.
灯,lampe,请把灯打开。,Allume la lampe s'il te plaît.
等,attendre,请等我一下。,Attends-moi un moment.
等,etcetera,我喜欢水果：苹果、香蕉等。,"J'aime les fruits : pommes, bananes, etc."
低,bas,他说话声音很低。,Il parle à voix basse.
底,fond,箱子的底是平的。,Le fond de la boîte est plat.
弟弟,frère cadet,我的弟弟今年十岁。,Mon petit frère a dix ans.
地方,endroit,这是一个很好的地方。,C'est un très bel endroit.
地球,Terre,地球是我们的家。,La Terre est notre maison.
地址,adresse,请告诉我你的地址。,Donne-moi ton adresse s'il te plaît.
第一,premier,他是班上第一名。,Il est premier de sa classe.
点,point,纸上有一个黑点。,Il y a un point noir sur le papier.
掉,tomber,书从桌子上掉下来了。,Le livre est tombé de la table.
冬,hiver,北京的冬天很冷。,L'hiver à Pékin est très froid.
懂,comprendre,我完全懂你的意思。,Je comprends parfaitement ce que tu veux dire.
都,"tout, tous",我们都喜欢吃冰淇淋,Nous aimons tous manger de la glace
肚子,ventre,我的肚子疼,J'ai mal au ventre
短,court,这条裙子太短了,Cette jupe est trop courte
段,"section, partie",这段故事很有趣,Cette partie de l'histoire est très intéressante
断,"casser, rompre",绳子断了,La corde s'est cassée
多,beaucoup,这里有很多书,Il y a beaucoup de livres ici
多么,"combien, que",天气多么好啊！,Que le temps est beau !
多少,combien,这本书多少钱？,Combien coûte ce livre ?
朵,classificateur de fleurs,一朵漂亮的花,Une belle fleur
而,"et, mais",他很聪明而且勤奋,Il est intelligent et diligent
而且,"de plus, en outre",她很漂亮而且很友好,"Elle est belle et, de plus, très gentille"
儿童,enfant,这个公园是儿童游乐场,Ce parc est une aire de jeux pour enfants
儿子,fils,我的儿子今年十岁,Mon fils a dix ans cette année
耳朵,oreille,他的耳朵很大,Ses oreilles sont grandes
二,deux,我有两个兄弟,J'ai deux frères
法律,loi,这个国家的法律很严格。,Les lois de ce pays sont très strictes.
方便,pratique,这家超市位置很方便。,Ce supermarché est situé dans un endroit pratique.
方法,méthode,我找到了解决问题的方法。,J'ai trouvé une méthode pour résoudre le problème.
方面,aspect,他在各个方面都很优秀。,Il est excellent dans tous les aspects.
方向,direction,你走错方向了。,Tu as pris la mauvaise direction.
放,mettre,请把书放在桌子上。,Mets le livre sur la table s'il te plaît.
放弃,abandonner,我决定不放弃这个机会。,J'ai décidé de ne pas abandonner cette opportunité.
放暑假,prendre les vacances d'été,学生们开始放暑假了。,Les étudiants commencent leurs vacances d'été.
放心,être rassuré,你可以放心，我会准时到的。,"Tu peux être rassuré, j'arriverai à l'heure."
非常,très,这个电影非常有趣。,Ce film est très intéressant.
分,diviser,请把蛋糕分成四份。,Divise le gâteau en quatre parts.
份,part,我要一份炒饭。,Je voudrais une portion de riz sauté.
丰富,riche,这里的文化很丰富。,La culture ici est très riche.
符合,correspondre à,这个方案符合我们的要求。,Ce plan correspond à nos exigences.
富,riche,他是这个城市最富的人。,Il est l'homme le plus riche de cette ville.
附近,"près de, aux alentours",我家附近有一家超市,Il y a un supermarché près de chez moi
复印,photocopier,请帮我复印这份文件,"S'il vous plaît, photocopiez ce document pour moi"
干杯,"santé, tchin-tchin",让我们一起干杯吧！,Trinquons ensemble !
干燥,"sec, aride",冬天空气很干燥,L'air est très sec en hiver
敢,oser,我敢说法语,J'ose parler français
感冒,rhume,我昨天感冒了,J'ai attrapé un rhume hier
感情,"sentiment, émotion",他们之间的感情很好,Ils ont une bonne relation entre eux
干,"faire, travailler",我想干这份工作,Je veux faire ce travail
高,"haut, grand",这座楼很高,Cet immeuble est très haut
高兴,"content, heureux",我很高兴认识你,Je suis ravi de te connaître
哥哥,grand frère,我哥哥在大学读书,Mon grand frère étudie à l'université
各,chaque,各个学生都有一本书,Chaque étudiant a un livre
个,classificateur,这个苹果很甜,Cette pomme est très sucrée
个子,"taille, stature",他个子很高,Il est de grande taille
跟,avec,我想跟你一起去,Je veux aller avec toi
根据,"selon, d'après",根据天气预报，明天会下雨。,"Selon les prévisions météo, il va pleuvoir demain."
更,"encore plus, davantage",今天比昨天更热。,Il fait encore plus chaud aujourd'hui qu'hier.
公斤,kilogramme,这个西瓜有五公斤重。,Cette pastèque pèse cinq kilogrammes.
公里,kilomètre,从这里到学校有两公里。,Il y a deux kilomètres d'ici à l'école.
公司,"entreprise, société",我在一家大公司工作。,Je travaille dans une grande entreprise.
公园,parc public,周末我喜欢去公园散步。,J'aime me promener dans le parc le weekend.
工具,outil,我需要一些工具来修理自行车。,J'ai besoin d'outils pour réparer mon vélo.
工作,travail,她在医院工作。,Elle travaille à l'hôpital.
共同,"commun, ensemble",我们有共同的爱好。,Nous avons des intérêts communs.
狗,chien,他养了一只可爱的小狗。,Il a un petit chien mignon.
够,"suffisant, assez",这些钱够买票吗？,Est-ce que cet argent est suffisant pour acheter le billet?
鼓励,encourager,老师总是鼓励学生。,Le professeur encourage toujours ses élèves.
鼓掌,applaudir,演出结束后观众都鼓掌了。,Le public a applaudi après le spectacle.
