chinese_word,french_translation,chinese_sentence,french_sentence
八,huit,我有八本书。,J'ai huit livres.
爸爸,papa,我爸爸在工作。,Mon papa travaille.
吧,d'accord,我们去吃饭吧。,"Allons manger, d'accord?"
白,blanc,这朵花是白色的。,Cette fleur est blanche.
百,cent,这本书有一百页。,Ce livre a cent pages.
帮助,aider,请帮助我。,"Aide-moi, s'il te plaît."
杯子,tasse,这个杯子很漂亮。,Cette tasse est très belle.
北京,Pékin,我想去北京旅游。,Je veux voyager à Pékin.
本,livre/volume,这本书很有趣。,Ce livre est très intéressant.
比,plus que,他比我高。,Il est plus grand que moi.
别,ne pas,别忘记你的钥匙。,N'oublie pas tes clés.
不客气,de rien,谢谢。不客气。,Merci. De rien.
不,non/ne pas,我不饿。,Je n'ai pas faim.
菜,plat/légume,这个菜很好吃。,Ce plat est très bon.
茶,thé,我喜欢喝中国茶。,J'aime boire du thé chinois.
唱歌,chanter,我喜欢唱歌,J'aime chanter
吃,manger,我们一起吃饭吧,Mangeons ensemble
出,sortir,他刚出门,Il vient de sortir
船,bateau,那艘船很大,Ce bateau est grand
次,fois,这是第二次,C'est la deuxième fois
从,depuis/de,他从北京来,Il vient de Pékin
大,grand,这个房间很大,Cette pièce est grande
大家,tout le monde,大家都来了,Tout le monde est venu
但是,mais,我想去但是没时间,Je veux y aller mais je n'ai pas le temps
到,arriver,我们到家了,Nous sommes arrivés à la maison
的,de,这是我的书,C'est mon livre
得,particule de degré,他跑得很快,Il court très vite
等,attendre,请等一下,Attendez un moment
弟弟,frère cadet,我的弟弟在学校,Mon petit frère est à l'école
第一,premier,他是第一名,Il est le premier
狗,chien,这是我的狗。,C'est mon chien.
孩子,enfant,她有两个孩子。,Elle a deux enfants.
好,bon/bien,今天天气很好。,Le temps est très beau aujourd'hui.
好吃,délicieux,这个蛋糕很好吃。,Ce gâteau est délicieux.
号,numéro,今天是三号。,C'est le trois du mois.
喝,boire,我想喝水。,Je veux boire de l'eau.
和,et,我和我的朋友去商店。,Mon ami et moi allons au magasin.
黑,noir,这件衣服是黑色的。,Ce vêtement est noir.
很,très,她很漂亮。,Elle est très belle.
后面,derrière,我的书在桌子后面。,Mon livre est derrière la table.
回,retourner,我要回家了。,Je vais rentrer à la maison.
回答,répondre,请回答这个问题。,"S'il vous plaît, répondez à cette question."
会,pouvoir,我会说中文。,Je peux parler chinois.
几,combien,你有几本书？,Combien de livres as-tu ?
家,maison,我的家在北京。,Ma maison est à Pékin.
件,pièce,这件衣服很漂亮,Ce vêtement est très beau
叫,appeler,我叫玛丽,Je m'appelle Marie
教室,salle de classe,我的教室在二楼,Ma salle de classe est au deuxième étage
姐姐,grande sœur,我的姐姐是医生,Ma grande sœur est médecin
今天,aujourd'hui,今天天气很好,Il fait beau aujourd'hui
近,proche,我家离学校很近,Ma maison est proche de l'école
九,neuf,现在是九点钟,Il est neuf heures
就,alors,我就去买东西,Alors je vais faire des courses
咖啡,café,我每天早上喝咖啡,Je bois du café tous les matins
开,ouvrir,请开门,Ouvrez la porte s'il vous plaît
开始,commencer,电影要开始了,Le film va commencer
看,regarder,我在看电视,Je regarde la télévision
可能,possible,明天可能会下雨,Il est possible qu'il pleuve demain
可以,pouvoir,我可以帮你吗？,Est-ce que je peux vous aider ?
快,rapide,他跑得很快,Il court très vite
来,venir,他明天来我家。,Il vient chez moi demain.
了,particule le,我吃了早饭。,J'ai pris le petit-déjeuner.
累,fatigué,我今天很累。,Je suis très fatigué aujourd'hui.
冷,froid,今天天气很冷。,Il fait très froid aujourd'hui.
离,quitter/partir,他离开了学校。,Il a quitté l'école.
里,dans/dedans,书在房子里。,Le livre est dans la maison.
两,deux,我有两本书。,J'ai deux livres.
零,zéro,现在是零度。,Il fait zéro degré maintenant.
六,six,我有六岁了。,J'ai six ans.
路,route,这条路很长。,Cette route est très longue.
旅游,voyager,我喜欢去中国旅游。,J'aime voyager en Chine.
慢,lent,他走路很慢。,Il marche très lentement.
忙,occupé,我今天很忙。,Je suis très occupé aujourd'hui.
猫,chat,我家有一只猫。,J'ai un chat chez moi.
没,ne pas avoir,我没有时间。,Je n'ai pas le temps.
没关系,Ce n'est pas grave,摔倒了没关系，站起来继续走,"Ce n'est pas grave si tu tombes, relève-toi et continue"
每,chaque,每个人都有一本书,Chaque personne a un livre
妹妹,petite sœur,我的妹妹今年十岁,Ma petite sœur a dix ans
门,porte,请关上门,Ferme la porte s'il te plaît
明天,demain,明天我们去公园,Demain nous irons au parc
